#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3722.6095776129087    All      -0.5756901855847822        0.30100985032106564      0.13005083231963643       0.2913736156135629        
Zeropoint     AB|MEGACAMPSF|i           5807.890512635653     All      1.1366047680934785         0.015846823825604872     -0.9325159454370568       -0.4066816380432412       
Zeropoint     AB|MEGACAMPSF|z           6697.730663622913     All      0.783718333594573          -0.03563576142511238     0.6543160253565661        -0.23769146565010937      
Zeropoint     AB|MEGACAMPSF|r           4751.497726026375     All      -0.35288450370810953       0.7189648455629083       0.15100392890912695       0.35587520766500597       
Check         All|All|All               All                   All      0.9917484123951595         1.0001857582844664       0.0028548411482726133     0.002875719585218317      
Lambda        AB|MEGACAMPSF|g           3722.6095776129087    All      -0.0009218050726446313     0.0004103837743493949    -0.0002224320880249143    0.0004240116126822844     
Lambda        AB|MEGACAMPSF|i           5807.890512635653     All      -0.00017456004430889573    6.420023217341022e-06    0.00024340464211659835    6.981319332124128e-05     
Lambda        AB|MEGACAMPSF|z           6697.730663622913     All      -0.0003382693721831714     6.454600235138955e-06    -0.0004431045165953554    9.251421942825623e-05     
Lambda        AB|MEGACAMPSF|r           4751.497726026375     All      -0.00016360349349455738    -5.87368293365782e-05    -0.0010811126416549821    -1.408656929926821e-05    
MWEBV         All|All|All               All                   All      -0.45677007170466055       -2.832067163871521       0.027105977221242306      -0.772502792601808        
Redshift      All|All|All               All                   All      2.7760818478460036         0.4553610074378156       2.5178410794571033        -0.6435754438184251       
