#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3722.6095776129087    All      -0.5520239559735485        0.2877480201208371       0.0898512126761547        0.2775510072413742        
Zeropoint     AB|MEGACAMPSF|i           5807.890512635653     All      1.1298086212370886         0.02333455521430494      -0.8636460746352052       -0.39895556294716833      
Zeropoint     AB|MEGACAMPSF|z           6697.730663622913     All      0.7838341918214833         -0.02912633476039872     0.7328624174537799        -0.23210370533899488      
Zeropoint     AB|MEGACAMPSF|r           4751.497726026375     All      -0.3699166257804366        0.7184932293775148       0.045675020259131616      0.3565691638219715        
Check         All|All|All               All                   All      0.9917022313045869         1.0004494699522581       0.004742575753861056      0.003060902777182517      
Lambda        AB|MEGACAMPSF|g           3722.6095776129087    All      -0.0008768092258092067     0.0004189850321347467    -7.960315592059001e-05    0.00041853049693251875    
Lambda        AB|MEGACAMPSF|i           5807.890512635653     All      -0.00015065621232337328    7.894729050838157e-06    0.0002461231405625054     6.262860313722302e-05     
Lambda        AB|MEGACAMPSF|z           6697.730663622913     All      -0.00032615999133634566    8.463781492299394e-06    -0.0003898543127320405    9.160056416428518e-05     
Lambda        AB|MEGACAMPSF|r           4751.497726026375     All      -0.000190586083077665      -3.78098915607442e-05    -0.0010908957790198156    1.0825634499042419e-06    
MWEBV         All|All|All               All                   All      -0.45858075494898864       -2.8319006369768474      0.020522021919364364      -0.7721525618973635       
Redshift      All|All|All               All                   All      2.7013094091804213         0.31593892558703374      1.9769061326956583        -0.6887734017635448       
