#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5371.328363702216     All      0.2216601241579964        0.25729146342925446        0.0253259654161995         0.012736480955464945       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6189.458273081624     All      0.6899495919971115        -0.07079015783038045       0.03514804094029174        -0.24622946847513746       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7540.758431906885     All      0.2463642671729284        -0.057518034074455215      0.03900963294790418        -0.09724364219332923       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7851.475030749245     All      0.18431216903007036       -0.04426075896946102       0.03913221291562023        -0.0727074315407464        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4343.2959651754445    All      -0.5603909648831301       0.43597043852763306        0.08169606798038222        0.3281934087049106         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6349.821659622388     All      0.5715093021010594        -0.07550092621491089       0.005929558251304148       -0.2104879084154859        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4342.240800361199     All      -0.5082657035630761       0.3473630491965807         -0.1504655005559588        0.27199184989690245        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5352.12415577973      All      0.15139670564152635       0.2043098354326034         -0.07564994524206207       0.01385963755469529        
Check         All|All|All                                All                   All      0.9965354916544863        0.996864909496864          0.00012603265368112126     0.00011292648727425497     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5371.328363702216     All      6.67444127188565e-05      6.0911197829624623e-05     -0.00046882859079649036    -2.2821736751905883e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6189.458273081624     All      -5.028353818720835e-05    -1.5981460921351943e-05    -0.00022697784267761332    1.0443364231346484e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7540.758431906885     All      -4.467508160234455e-05    2.119406330551202e-06      -7.129827530308085e-05     1.2060789647027257e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7851.475030749245     All      1.1259041756564278e-05    8.700618597651635e-07      3.245329347522516e-05      -1.9357911044603477e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4343.2959651754445    All      -0.0003048749663499826    0.0001929352921624976      -0.00016862570060823873    0.00015462818812024478     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6349.821659622388     All      -7.075791901935775e-05    -1.0745614412541611e-05    -0.0001819612431694218     1.1427887391728126e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4342.240800361199     All      -0.0003494985252189862    0.00018688149893726663     -0.0003503711283740909     0.0001590811659833884      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5352.12415577973      All      5.295132013941603e-05     6.978288315240485e-05      -0.0003648001971171925     -1.0796763515331128e-05    
MWEBV         All|All|All                                All                   All      -0.849821394333826        -4.053037179210328         0.0116971610848433         -1.042870773227322         
Redshift      All|All|All                                All                   All      4.2092453869336826        -0.12033863814844281       -1.7090365143114337        -1.4865544063657303        
