#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7114.115200228979    All      0.7273678136726862         -0.1305062538216717       0.7608127585025061        -0.2454862278760634        
Zeropoint     AB|PS|PS_z                8175.854257727568    All      0.32432214176920227        -0.0753571363391714       0.2962019801415641        -0.1169705559703516        
Zeropoint     AB|PS|PS_r                5873.528596846837    All      1.0253359114004652         0.1356430539444453        -1.5262101705024176       -0.35790998397877893       
Zeropoint     AB|PS|PS_g                4625.072893039693    All      -1.075426604599156         1.0683999298295888        0.4843689975541956        0.7199299957959836         
Check         All|All|All               All                  All      1.0015992622431977         0.998179593613191         0.015173565695848268      -0.00043677202921033054    
Lambda        AB|PS|PS_i                7114.115200228979    All      -0.000484803096577894      2.750251556165801e-05     -0.0013203009447361957    0.00010795582498719651     
Lambda        AB|PS|PS_z                8175.854257727568    All      0.00012098956351739516     -1.450323053831219e-05    0.00030052176486395553    -3.072355448512881e-05     
Lambda        AB|PS|PS_r                5873.528596846837    All      -0.00020865269680904705    -3.90899621774612e-05     -0.0005766182232575596    2.9500338125504946e-05     
Lambda        AB|PS|PS_g                4625.072893039693    All      -6.225400507818878e-05     -4.678393228817767e-05    -0.0005994725083832195    -2.1712593113514646e-05    
MWEBV         All|All|All               All                  All      -0.6606780072149614        -3.8809904372611115       0.14287216957228244       -1.042585974858224         
Redshift      All|All|All               All                  All      6.060999078309374          -0.035545620205468254     5.788524597031445         -1.727529911635679         
