#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7114.115200228979    All      0.6743969450340971        -0.10510405898385144       0.6227059796452661        -0.2261206139435007        
Zeropoint     AB|PS|PS_z                8175.854257727568    All      0.3136633368995761        -0.05683269085565712       0.3044140978938792        -0.10709814213152175       
Zeropoint     AB|PS|PS_r                5873.528596846837    All      1.1442021435089202        0.0713430828922057         -1.3842152261726248       -0.41123666013106325       
Zeropoint     AB|PS|PS_g                4625.072893039693    All      -1.1299364521731794       1.0890811101898379         0.4755417290271846        0.744028266853336          
Check         All|All|All               All                  All      1.002325973269414         0.998487443242535          0.01844658039370506       -0.00042714935274967836    
Lambda        AB|PS|PS_i                7114.115200228979    All      -0.0004805687939734134    1.4087106010327087e-05     -0.001357349356609505     0.00010055343261506133     
Lambda        AB|PS|PS_z                8175.854257727568    All      0.00014037997544065733    -8.398221664371455e-06     0.00041635667109739694    -2.9881867480353556e-05    
Lambda        AB|PS|PS_r                5873.528596846837    All      -0.0003623794905943204    -5.1744133923315605e-05    -0.0007236837717481362    6.88894722936515e-05       
Lambda        AB|PS|PS_g                4625.072893039693    All      3.229821875738736e-06     -0.00017326410408786676    -0.0009058129841951875    -9.791215140011278e-05     
MWEBV         All|All|All               All                  All      -0.6761909018806764       -3.8718039723828035        0.1223329185236377        -1.0354571533108758        
Redshift      All|All|All               All                  All      6.4009312893416555        0.44783442257561035        4.1851598882072345        -1.752355036508682         
