#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3458.7374797030634    All      -0.40804856146738366       0.17496217114629786        0.06803176086735617       0.19294172112459587        
Zeropoint     AB|MEGACAMPSF|i           5394.602782904588     All      1.4065744643901608         0.2995574340301843         0.056483499826619         -0.35807126738883704       
Zeropoint     AB|MEGACAMPSF|r           4411.4549887590065    All      -0.8160709277778495        0.5513681328714881         -0.33184968435258705      0.4306109621801411         
Zeropoint     AB|MEGACAMPSF|z           6213.220386212557     All      0.8098243431101046         -0.0249776040698535        0.21410180524722666       -0.2623680781306476        
Check         All|All|All               All                   All      0.9922793182550325         1.0009101339781168         0.006767381588614785      0.0031133377852523014      
Lambda        AB|MEGACAMPSF|g           3458.7374797030634    All      -0.0009504521396144678     0.0003770973937767865      -9.9857313261149e-07      0.00043238199637527256     
Lambda        AB|MEGACAMPSF|i           5394.602782904588     All      0.0002721153924858469      -0.0001026395470065257     -0.0014963991024087122    -0.00018884743209197596    
Lambda        AB|MEGACAMPSF|r           4411.4549887590065    All      -0.00023877485305539705    -0.00010901536432297564    -0.001476014438699196     -2.360081086950113e-05     
Lambda        AB|MEGACAMPSF|z           6213.220386212557     All      -0.00023477842088196277    1.529869249653081e-06      -0.0001352634128193094    7.09371995359513e-05       
MWEBV         All|All|All               All                   All      -0.37281458674721524       -2.5350728520860955        0.0387072857296893        -0.7025913248188641        
Redshift      All|All|All               All                   All      1.608877771992168          0.3257155843664705         -1.5616240792946756       -0.4876562496707062        
