#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          5933.743343194247     All      1.120631437579469          0.04649759404085074        -0.18428444436182148       -0.3581044991583674       
Zeropoint     AB|DECam|DECam_z          6953.474496384741     All      0.6794573949620374         -0.036877492468079254      0.44432303931409506        -0.21350574301110284      
Zeropoint     AB|DECam|DECam_r          4884.241478742345     All      -0.26245223075937085       0.6660776228022414         -0.3425171341723863        0.28716775445602455       
Zeropoint     AB|DECam|DECam_g          3674.9198435452795    All      -0.5458099717127072        0.3250673574678231         0.08674567482676983        0.28754445818625335       
Check         All|All|All               All                   All      0.9918266300694284         1.000765081842836          0.004267135606657105       0.0031019704728076913     
Lambda        AB|DECam|DECam_i          5933.743343194247     All      -0.0001452881726606758     3.5122478765898285e-06     9.159989744689791e-05      5.255687507735852e-05     
Lambda        AB|DECam|DECam_z          6953.474496384741     All      -0.0005165157166021284     1.7713963566814257e-05     -0.0004841927080167869     0.00015240888572333643    
Lambda        AB|DECam|DECam_r          4884.241478742345     All      -0.00026245337695114933    -2.7081614022805048e-05    -0.0018222078673690737     -4.648441335901898e-06    
Lambda        AB|DECam|DECam_g          3674.9198435452795    All      -0.0010155793514642546     0.000507082002956562       -0.00043400222960990597    0.00047661337099813014    
MWEBV         All|All|All               All                   All      -0.4541047609563318        -2.8148971226054087        0.07087046419517104        -0.7658251166300777       
Redshift      All|All|All               All                   All      7.1669146773756385         -0.226353207611929         6.570752539972382          -2.1150080739450656       
