#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5933.743343194247     All      1.1162744892700434         0.04369245951334477        -0.20983114192908436      -0.3587390541371281       
Zeropoint     AB|DECam|DECam_z          6953.474496384741     All      0.704479677710377          -0.044698026951017766      0.44089267957663214       -0.22435681027993362      
Zeropoint     AB|DECam|DECam_r          4884.241478742345     All      -0.28025131047109764       0.6821906853803128         -0.2471522152911243       0.30246975321059494       
Zeropoint     AB|DECam|DECam_g          3674.9198435452795    All      -0.5491043191175216        0.3196329577546564         0.01847688269704939       0.28380085009826506       
Check         All|All|All               All                   All      0.9913985373918013         1.0008180756972962         0.0023862050534728674     0.0031747388917982566     
Lambda        AB|DECam|DECam_i          5933.743343194247     All      -0.00012991930722304105    3.7171361560547597e-06     0.00012706589743679232    4.92001535270151e-05      
Lambda        AB|DECam|DECam_z          6953.474496384741     All      -0.000531694428597873      2.0354267763251715e-05     -0.0005236966832896406    0.00015645024454411855    
Lambda        AB|DECam|DECam_r          4884.241478742345     All      -0.0002660662377935984     -1.3152700953791972e-05    -0.0017238320967046844    5.455550355460803e-06     
Lambda        AB|DECam|DECam_g          3674.9198435452795    All      -0.00101562133191179       0.0005099271610947815      -0.0004267622902715629    0.00047787689226038024    
MWEBV         All|All|All               All                   All      -0.45363543725906963       -2.8162515965302504        0.06389869980276686       -0.7667303053414338       
Redshift      All|All|All               All                   All      7.314651172773845          -0.21263929364661038       7.553849164361482         -2.114792550782714        
