#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8313.57324958458      All      0.21348502048525494        -0.035048309398177935      0.04942652817687687        -0.07874980310201979      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4396.066171454133     All      -0.23529454788413584       0.15407102078399681        -0.18401257460918252       0.11861753939631098       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5382.3282478969295    All      0.19853297669840939        0.07583516216120856        -0.27308848611466985       -0.052153399718211924     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8230.097168295917     All      0.12014414959346534        -0.02256172040375759       0.0035244250689125955      -0.04632671783803971      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5405.06552278802      All      0.5942551675586611         0.28158549280363765        0.2855390831677185         -0.0891045017462691       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4412.266660736015     All      -0.5991256600065948        0.5239419149284164         0.15799765715019953        0.3728707667637096        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6861.78294181488      All      0.5567257645433435         -0.04630812026520381       0.13533944205201265        -0.19038839780046307      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3661.005090146282     All      -0.21455660485650535       0.10542129725350513        -0.060479880653557805      0.10152839037800426       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6348.063121042933     All      0.3617071315917285         -0.03943106473278668       -0.11411154012739844       -0.1357561815381006       
Check         All|All|All                                  All                   All      0.9958733977236269         0.9975056731308385         0.00013465411091151402     0.0005376947949206623     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8313.57324958458      All      -2.2541989574522853e-05    8.285237721374222e-07      -1.689739616744054e-05     6.8584918800393886e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4396.066171454133     All      -0.00016080751849688186    7.981315634222973e-05      -0.00027265337380231417    6.621080215902103e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5382.3282478969295    All      0.00011493801672378631     7.362505484924667e-06      -0.0003506598354530013     -5.06892210735905e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8230.097168295917     All      -6.676848858235881e-06     7.342253713724097e-08      -5.573837755160865e-06     1.9500506915036104e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5405.06552278802      All      0.00012301125551249172     -4.296848349776074e-05     -0.0007973640560847817     -8.964775722927283e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4412.266660736015     All      -0.00034854064272562483    6.590527346616467e-05      -0.0010597025511219814     8.770901195051403e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6861.78294181488      All      -0.0001117109816938708     -1.0424205313795135e-05    -0.00018191408632246565    2.4874445131562828e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3661.005090146282     All      -0.00042219024896420344    0.00017281957810366452     -0.00029887787317722775    0.00018047672913439343    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6348.063121042933     All      -3.47077438900173e-05      -2.125511647032894e-06     -1.9744501944379405e-05    9.731998526581248e-06     
MWEBV         All|All|All                                  All                   All      -0.9199967461014067        -4.0495427691817465        0.011460295293785894       -1.0188846783795085       
Redshift      All|All|All                                  All                   All      4.232506939972444          -0.5910935456220567        1.7619634683977536         -1.4925770327114034       
