#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_I               8313.57324958458      All      0.1963920096993913         -0.03047178262707284       0.05859501575319927        -0.07128217432191396       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4396.066171454133     All      -0.25026684409449484       0.1620536085493729         -0.18794735131769513       0.12591910928773406        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5382.3282478969295    All      0.2174157870072042         0.09328227673104372        -0.25564571049459694       -0.05184266208922484       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8230.097168295917     All      0.12308430324594655        -0.023314815003594447      0.0023989205246775715      -0.047579956396631984      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_V               5405.06552278802      All      0.5649876513656624         0.2735833424084344         0.2665751697328909         -0.08302394485466513       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_B               4412.266660736015     All      -0.577113585219755         0.491820944461141          0.11989942141268949        0.3535377037180568         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K1_R               6861.78294181488      All      0.5432952367096587         -0.03985521827987171       0.16686577049355392        -0.18250483531984155       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3661.005090146282     All      -0.22626838763392132       0.11172172312092776        -0.05307150803418397       0.10772616096226902        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6348.063121042933     All      0.4045246003876039         -0.041582532720108034      -0.1175732003475966        -0.15055852167926148       
Check         All|All|All                                  All                   All      0.996050771467296          0.9972375466402728         9.652772293845813e-05      0.0003908793065209304      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_I               8313.57324958458      All      -2.331659264248884e-05     1.1527003556882919e-06     -1.5355374732354692e-05    7.285213895714834e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4396.066171454133     All      -0.0001380599924167879     6.158045511494824e-05      -0.0002444530885082632     5.4120643129024134e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5382.3282478969295    All      9.25901135767157e-05       8.435492985263898e-06      -0.00031658677661023076    -4.1539742341059754e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8230.097168295917     All      -7.398621813956228e-06     1.881519164248732e-07      -5.838111830274929e-06     2.210733683919686e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K1_V               5405.06552278802      All      8.452214553289798e-05      -5.497477207833146e-05     -0.0007718442829260963     -7.988260077267253e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_B               4412.266660736015     All      -0.0002727853661218493     4.976156356586671e-06      -0.0010397746190392678     4.4075700218259366e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K1_R               6861.78294181488      All      -0.0001297520142082253     -1.1582296959790466e-05    -0.00021670387290147967    2.8821266013332937e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3661.005090146282     All      -0.00040699902030562324    0.0001549945835980133      -0.00034187369381468704    0.0001678035530459363      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6348.063121042933     All      -6.50171837059814e-05      3.448287270661461e-07      -3.377393946683476e-05     1.978338199546944e-05      
MWEBV         All|All|All                                  All                   All      -0.928191808826881         -4.0458229751971775        0.010107582304829022       -1.015063982929816         
Redshift      All|All|All                                  All                   All      4.333753436596114          -0.10081239672401487       1.516176172584754          -1.3768240057576604        
