#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP           4517.560559670892    All      1.036177580817205         0.8747361497425388        -8.614988675805456        -0.4370341627557048       
Zeropoint     VEGAHST|ACSWF|F775W            3846.149247920051    All      -1.669226785290193        0.1531664120454579        4.271985787486177         0.7842525245020382        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5773.605754686051    All      1.620012244550431         -0.021681353483238297     4.292574737518917         -0.34319571954188194      
Check         All|All|All                    All                  All      0.9869630400774426        1.0062212083047584        -0.05042815080036256      0.0040226422044514765     
Lambda        VEGAHST|ACSWF|F850LP           4517.560559670892    All      -0.000619594717362818     -0.0003237331915904587    -0.0005367584520398875    7.241876802700156e-05     
Lambda        VEGAHST|ACSWF|F775W            3846.149247920051    All      -0.002070943111298096     0.00023006439320784897    0.0038868606207524098     0.000922966582914992      
Lambda        VEGAHST|NICMOS2|F110W_faint    5773.605754686051    All      0.00022453920031112085    -7.009431890263978e-06    0.0006277336068245031     -4.741013943531854e-05    
MWEBV         All|All|All                    All                  All      -0.034209308068356314     -1.4922416034458763       -0.09615737337367314      -0.47922014838101407      
Redshift      All|All|All                    All                  All      6.133730598282822         1.5439766413619438        -2.8247070915230488       -1.6210875662734645       
