#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP           4517.560559670892    All      1.3935332298312426        1.10519400796818          -5.994788735851891       -0.36144145885171725      
Zeropoint     VEGAHST|ACSWF|F775W            3846.149247920051    All      -2.0094180891786793       0.04562607708109567       2.818356280459906        0.7951657904504176        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5773.605754686051    All      1.6254141538946947        -0.1642487215086419       3.282917981073578        -0.4364505250802138       
Check         All|All|All                    All                  All      1.0095292945472583        0.9865713635406337        0.10648552568159264      -0.0027261934815134836    
Lambda        VEGAHST|ACSWF|F850LP           4517.560559670892    All      -0.0006690506801255189    0.00018828504619330326    -0.007335890889220848    -4.810466628808933e-05    
Lambda        VEGAHST|ACSWF|F775W            3846.149247920051    All      -0.003226716437122839     1.0907864704304405e-05    0.004901313865226009     0.001273323876665507      
Lambda        VEGAHST|NICMOS2|F110W_faint    5773.605754686051    All      0.000289416629814062      -3.172297908042906e-05    0.000606425262202122     -7.75437615546581e-05     
MWEBV         All|All|All                    All                  All      -0.025815977961066272     -1.485461068756777        -0.12429998352881035     -0.48100136434500257      
Redshift      All|All|All                    All                  All      7.563404666855062         0.9961679201639484        5.7130144835098395       -1.8842194665961778       
