#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53484.89999999991  0.424619563946313  0.04693048283777672  22.92
53491.700000000186  0.3732501577957217  0.04125295114015123  22.92
