#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     AB|WFC3|WFC3_f160w        6625.019536302544    All      1.1652214214629044        0.11451042858521276       2.9512989031001577       -0.2105482225253974       
Zeropoint     AB|WFC3|WFC3_f125w        5397.487062624336    All      0.6301830938471025        0.5717751506928437        -3.151451614953815       -0.15966020013124804      
Zeropoint     AB|ACSWF|F814W            3488.9099165939      All      -0.7554291973858243       0.3231990683456587        0.333472317166994        0.3662260498968603        
Check         All|All|All               All                  All      1.0399753179241826        1.0094846476237151        0.13331960531333653      -0.0039823727597851355    
Lambda        AB|WFC3|WFC3_f160w        6625.019536302544    All      -0.0006184702766633361    -7.769779759571404e-06    -0.002756081800489781    7.593397076112857e-05     
Lambda        AB|WFC3|WFC3_f125w        5397.487062624336    All      6.326462848301977e-05     5.601307887960844e-05     -0.002117106253320126    -9.683879684308424e-05    
Lambda        AB|ACSWF|F814W            3488.9099165939      All      -0.0010887165914358623    0.0002442414713580194     0.001657498153762266     0.0005081548240584079     
MWEBV         All|All|All               All                  All      -0.0985336027221837       -1.1115768922719482       -0.0749782712638869      -0.33332746342440295      
Redshift      All|All|All               All                  All      3.742311569744631         -0.07232081047288119      5.246294864479584        -1.0084332194735535       
