#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     AB|WFC3|WFC3_f160w        6625.019536302544    All      1.5464703779101279         -0.016284281754508356     7.441607341570819        -0.17695584816593937      
Zeropoint     AB|WFC3|WFC3_f125w        5397.487062624336    All      -0.07415746002058499       0.6378008550264269        -9.16291314825743        -0.1769904841251649       
Zeropoint     AB|ACSWF|F814W            3488.9099165939      All      -0.4584824149038321        0.37154352374955124       1.8748562301149456       0.35403297790851174       
Check         All|All|All               All                  All      1.0138305029857106         0.9930600970214698        0.1535504234283338       8.66456174074548e-05      
Lambda        AB|WFC3|WFC3_f160w        6625.019536302544    All      -0.0006606886735048154     1.04015782632587e-05      -0.003310830551836051    7.084901178063033e-05     
Lambda        AB|WFC3|WFC3_f125w        5397.487062624336    All      -0.00012071013455240435    0.00017089867113491238    -0.003636899537346328    -6.731154101926069e-05    
Lambda        AB|ACSWF|F814W            3488.9099165939      All      -0.0013229346303417586     0.0005021117469268386     -0.000365536894819237    0.0005781654145532123     
MWEBV         All|All|All               All                  All      -0.11747305329745061       -1.1198040881446047       -0.14761969096603278     -0.3330797825763846       
Redshift      All|All|All               All                  All      4.438549915248806          -0.6300232228277025       10.812102082294588       -1.1685065644306676       
