#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5434.760764410601     All      0.07577576261285296        0.1873399847194257        0.14168779657226516       0.04266301310650589        
Zeropoint     AB|PS|PS_g                            4854.1503927828335    All      -0.8741131161068791        1.2595506429560643        0.2654635002421024        0.7068508985655086         
Zeropoint     AB|PS|PS_z                            8580.800146135747     All      0.4281397143875577         -0.0684142883402572       -0.03131307128194649      -0.16314133338548586       
Zeropoint     AB|PS|PS_r                            6164.441470384539     All      0.7060643347410029         -0.24797088876891138      -0.6161459455914287       -0.3382564228195245        
Zeropoint     AB|PS|PS_i                            7466.473695033601     All      0.6392037949779003         -0.08054654531726158      0.34431683958029424       -0.21908108575656726       
Check         All|All|All                           All                   All      0.9750704906124348         1.0499589052490599        0.10400911952128666       0.0290350697104369         
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5434.760764410601     All      -1.3988727196272446e-05    5.1028032602437284e-05    4.055569452972544e-05     2.2987912035596783e-05     
Lambda        AB|PS|PS_g                            4854.1503927828335    All      -0.00019473448200534098    0.00018625450380308831    -0.0009985656304901866    7.953924900041489e-05      
Lambda        AB|PS|PS_z                            8580.800146135747     All      0.0004553190104908613      1.6359225503430135e-05    8.271579604085268e-06     -0.0001426145207106422     
Lambda        AB|PS|PS_r                            6164.441470384539     All      4.5366195371943286e-05     -9.131325881444883e-05    0.00015048317239395615    -3.7805622009257375e-05    
Lambda        AB|PS|PS_i                            7466.473695033601     All      2.2284736082389847e-05     1.5070138254900648e-05    -0.000171997302044033     -1.0025481500821409e-05    
MWEBV         All|All|All                           All                   All      -0.6210696356259522        -4.110859880725304        0.04783837133039981       -1.1346046867189208        
Redshift      All|All|All                           All                   All      1.9364358706098224         0.20437646733517667       1.9455299553961858        -0.4773686642949082        
