#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5434.760764410601     All      0.3840790176119381         0.4201334934135659        1.1382426785385777         0.06253867190925504        
Zeropoint     AB|PS|PS_g                            4854.1503927828335    All      -1.2471100172183538        1.0705939407094078        -0.35693438055301674       0.739024087228664          
Zeropoint     AB|PS|PS_z                            8580.800146135747     All      0.42172746234111086        -0.12574768751409948      0.23519791515493083        -0.16783486497686803       
Zeropoint     AB|PS|PS_r                            6164.441470384539     All      0.9377870796400863         -0.22725448340339405      -1.2215938160470918        -0.434006487244929         
Zeropoint     AB|PS|PS_i                            7466.473695033601     All      0.5052936309957405         -0.1409741637013351       0.2108632829805764         -0.2011008224523572        
Check         All|All|All                           All                   All      1.0017771733705223         0.9967510995041451        0.005775680073976414       -0.0013794155362353011     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5434.760764410601     All      5.008423774432127e-05      5.01227904635184e-05      0.00017046844470132953     7.619781642761982e-06      
Lambda        AB|PS|PS_g                            4854.1503927828335    All      -0.0001650847914958731     4.766251965720891e-05     -0.00040803666971010987    5.1089995896676525e-05     
Lambda        AB|PS|PS_z                            8580.800146135747     All      0.000397083876946102       -9.41618266006068e-05     0.00034696246367624744     -0.00014453154593585112    
Lambda        AB|PS|PS_r                            6164.441470384539     All      -0.00011317022150187922    9.548296316452741e-06     -0.0002780617906997177     2.7564837945430178e-05     
Lambda        AB|PS|PS_i                            7466.473695033601     All      -9.147840666262703e-06     -1.700768495406972e-05    -0.0002071972149927015     -1.1806469948471378e-05    
MWEBV         All|All|All                           All                   All      -0.6832604945166341        -4.143095093711535        0.14036618516128566        -1.120718055969969         
Redshift      All|All|All                           All                   All      1.798189510828105          0.8411919175660643        -5.97152517433771          -0.5782073427186668        
