#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5254.7290640810925    All      0.45853947992446675       0.4780625631607194         0.15126867562455695       0.013109736741634183       
Zeropoint     AB|DECam|DECam_g          3953.6759585068844    All      -0.8200929969116828       0.5678726972455195         -0.14204866791769982      0.44576710965878746        
Zeropoint     AB|DECam|DECam_i          6383.8394845926405    All      0.9574110985383442        -0.01988780605675089       -0.16401064364844584      -0.32565744715795836       
Zeropoint     AB|DECam|DECam_z          7480.920976476364     All      0.4006634855510048        -0.027409605191053288      0.15532186234687675       -0.13250618749203127       
Check         All|All|All               All                   All      0.9965210671021328        0.9986378491584347         0.0005312264052880489     0.0007132117504320135      
Lambda        AB|DECam|DECam_r          5254.7290640810925    All      4.098009186552426e-05     4.413399133001345e-05      -0.0005169797656318062    -2.2043103722172075e-05    
Lambda        AB|DECam|DECam_g          3953.6759585068844    All      -0.0007928986861013472    0.00042090075258465593     -0.000830250595709926     0.0003583241391119685      
Lambda        AB|DECam|DECam_i          6383.8394845926405    All      -0.0003579543876425774    -1.5090186396307045e-05    -0.0002915842939806818    9.867008240095016e-05      
Lambda        AB|DECam|DECam_z          7480.920976476364     All      -6.762531510881064e-05    -1.6701679478052164e-05    -0.0002528464142009733    5.304129278574963e-06      
MWEBV         All|All|All               All                   All      -0.4903566588149957       -3.146718140085625         0.07130216033465671       -0.8620824382100265        
Redshift      All|All|All               All                   All      5.517940023525929         0.3602833588946197         -2.413028625071097        -1.787700842431938         
