#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6191.196821389463    All      1.1586194427121015        -0.1998545629378068       -0.5934282160790283        -0.46898165187385515      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4344.515947525684    All      -0.46260060965968913      0.43042842906697576       -0.09572156079487026       0.2866173240709341        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7542.876545032977    All      1.3278271782161208        -0.6607626312011283       0.5605818735328949         -0.6227329292323266       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5372.837108640069    All      -1.060378869214588        1.4105894150195697        0.05169391804942247        0.8071825247579573        
Check         All|All|All                                All                  All      0.9634671420539453        0.9804006499476103        -0.07687398529158118       0.0020852677227095606     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6191.196821389463    All      0.0004659319697425863     0.0002863951702041313     0.0005653653974635099      -3.325138113548997e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4344.515947525684    All      -0.0006600259974414635    0.0005449930379749397     -0.00032466585917988205    0.0003780259976250031     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7542.876545032977    All      -6.802588883183695e-05    3.6250598591058435e-05    -8.640360344464966e-05     3.011048656383661e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5372.837108640069    All      -0.0007601777616954026    0.001312440324079285      0.0004159413840839793      0.0006936814512684667     
MWEBV         All|All|All                                All                  All      -0.6514402138822555       -4.252492488240733        -0.053533754992241         -1.1753701624730994       
Redshift      All|All|All                                All                  All      10.29434342148747         -12.98570418059466        3.1262791933560408         -7.443565912896532        
