#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7172.328473597784     All      0.1097231284846199        0.005668160198801786       0.09823125961698911        -0.029510516520615836      
Zeropoint     AB|SDSS|SDSS_i            6032.658829192336     All      1.2462583182373843        0.09157192864943653        0.17460007843943745        -0.368327745551057         
Zeropoint     AB|SDSS|SDSS_r            4974.671624861136     All      0.6657013461460441        0.4123488031719802         -0.20726638675206643       -0.09177460519840294       
Zeropoint     AB|SDSS|SDSS_g            3807.0464545449463    All      -1.0239193669023428       0.489249771886513          -0.062475633652718604      0.4901009696998155         
Check         All|All|All               All                   All      0.9977634259657056        0.9988386639067315         0.0030893176516415266      0.00048810242973967854     
Lambda        AB|SDSS|SDSS_z            7172.328473597784     All      -3.292961948087694e-05    -2.1123469314015116e-06    -3.670446024881725e-05     8.400248044100151e-06      
Lambda        AB|SDSS|SDSS_i            6032.658829192336     All      -0.000170909530499673     -2.1520694532386112e-05    -0.00022956061992824965    3.841662248766016e-05      
Lambda        AB|SDSS|SDSS_r            4974.671624861136     All      -0.0002064838223639782    -8.051691297247506e-05     -0.0014197464846312689     -2.2325198372306412e-05    
Lambda        AB|SDSS|SDSS_g            3807.0464545449463    All      -0.0013034288074456784    0.0005085930372775193      -0.001265636037399683      0.0005337556050812512      
MWEBV         All|All|All               All                   All      -0.5628031413467389       -3.061508389844114         0.09063980848239338        -0.8098656660375531        
Redshift      All|All|All               All                   All      4.220877460479592         0.47765774320254195        4.531016390357115          -1.0170913588918975        
