#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7172.328473597784     All      0.08714127721229371        0.007458565668017059       0.1178261465867303         -0.020697240867066646      
Zeropoint     AB|SDSS|SDSS_i            6032.658829192336     All      1.1777352293937935         0.09357481477110241        0.17618111710164808        -0.34528456077516784       
Zeropoint     AB|SDSS|SDSS_r            4974.671624861136     All      0.6680190174757203         0.41687374181069714        -0.5348223715270661        -0.10567294480919587       
Zeropoint     AB|SDSS|SDSS_g            3807.0464545449463    All      -0.9349055018709074        0.48078407032612347        0.24348464078809418        0.47200226970195436        
Check         All|All|All               All                   All      0.9979900222109            0.9986911925759401         0.002669532949406417       0.0003475232505240067      
Lambda        AB|SDSS|SDSS_z            7172.328473597784     All      -3.038192416448927e-05     -1.6324056059497718e-06    -2.1534316285681305e-05    8.40368639329028e-06       
Lambda        AB|SDSS|SDSS_i            6032.658829192336     All      -0.00024045143327817216    -2.8718344736248298e-05    -0.0001917624603066145     6.0410954879452024e-05     
Lambda        AB|SDSS|SDSS_r            4974.671624861136     All      -0.00030484189049893206    -0.0001030060055021441     -0.0015044647884816889     -1.3927658062551999e-06    
Lambda        AB|SDSS|SDSS_g            3807.0464545449463    All      -0.0012296666471541676     0.0003988922541717229      -0.0019437122016430918     0.0004437362637461847      
MWEBV         All|All|All               All                   All      -0.562340402527397         -3.0565465782192547        0.13840978074823873        -0.8062684155470192        
Redshift      All|All|All               All                   All      4.613503694017509          0.8907543382250083         6.384237310115837          -0.9277227505884791        
