#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3770.7382036422114    All      -0.9356311933267666       0.5029373979080987         0.647378276102184          0.4974786368276432         
Zeropoint     AB|SDSS|SDSS_i            5975.124650664143     All      1.1569051556344139        0.1130813506495798         -0.38810345271469426       -0.35732702866669297       
Zeropoint     AB|SDSS|SDSS_r            4927.227595041499     All      0.7070163215483303        0.3764149647992099         -0.3788055963674486        -0.12459209232946605       
Zeropoint     AB|SDSS|SDSS_z            7103.925131299366     All      0.07011692225529084       0.0062029729274826195      0.12404130306761241        -0.015283482347734634      
Check         All|All|All               All                   All      0.9984072061112684        0.998636686284371          0.004510530087653564       0.0002760334837495493      
Lambda        AB|SDSS|SDSS_g            3770.7382036422114    All      -0.001531122418498361     0.0006432935713850372      -0.001416979615293411      0.0006450455317876876      
Lambda        AB|SDSS|SDSS_i            5975.124650664143     All      -0.0001643468461680903    -1.3426955883909301e-05    0.00015067321590384245     5.588342699120763e-05      
Lambda        AB|SDSS|SDSS_r            4927.227595041499     All      -0.0002693791759555878    -7.107105428293748e-05     -0.0018634969640337667     -1.8563831400643553e-05    
Lambda        AB|SDSS|SDSS_z            7103.925131299366     All      -6.191491304325708e-05    -8.291827798667496e-06     -0.00019625307146181113    8.708929789681258e-06      
MWEBV         All|All|All               All                   All      -0.5469472980396435       -3.020236391398967         0.15482087481772933        -0.7987226819248516        
Redshift      All|All|All               All                   All      4.855931349574416         0.18955359456143128        10.859519729920185         -1.0353822644996478        
