#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3770.7382036422114    All      -1.0779322447388244        0.4816631937615057         -0.12746458292616517       0.5023233845731093         
Zeropoint     AB|SDSS|SDSS_i            5975.124650664143     All      1.1749097105168713         0.11839146177639037        -0.1363066387678657        -0.35022549128719177       
Zeropoint     AB|SDSS|SDSS_r            4927.227595041499     All      0.7861160955477667         0.3880032839759906         0.036899021493724          -0.1280318063932039        
Zeropoint     AB|SDSS|SDSS_z            7103.925131299366     All      0.11512879696441985        0.010705634891294835       0.22960517320489027        -0.02376783496549025       
Check         All|All|All               All                   All      0.9982223582902335         0.9987635744051815         0.002732973004583389       0.0002982519272233912      
Lambda        AB|SDSS|SDSS_g            3770.7382036422114    All      -0.0014942291854535663     0.0006106216503644203      -0.001228001182771334      0.0006308191119799068      
Lambda        AB|SDSS|SDSS_i            5975.124650664143     All      -0.00018278583665702592    -2.1392624165004252e-05    -0.00015586906334563797    4.561535857122777e-05      
Lambda        AB|SDSS|SDSS_r            4927.227595041499     All      -0.0002932367571871108     -9.519477755833334e-05     -0.001888283457639724      -1.9756629989532498e-05    
Lambda        AB|SDSS|SDSS_z            7103.925131299366     All      -4.400759524139175e-05     -4.1651534889153066e-06    -9.049090206672811e-05     8.939800706623677e-06      
MWEBV         All|All|All               All                   All      -0.5636555076206942        -3.019315042186932         0.0925760096516795         -0.7957578570827225        
Redshift      All|All|All               All                   All      4.488442729433586          0.22381935454589552        8.828996871898795          -0.995130554865653         
