#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      3.5360006305064013         0.04960587722848686       0.1472502515519447        -1.1290623676922795        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -2.539688584406954         0.9525239544135644        -0.1475445770612538       1.1309442774472724         
Check         All|All|All                            All                   All      0.9963120460994477         1.0021298316420513        -0.0002943255093090791    0.0018819097549929165      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      0.0009094982053227777      -1.901123571797833e-05    -0.0002093156285142786    -0.00031178686714892904    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -0.00023999474709106452    -9.803964752785062e-05    -0.0011951855553884838    -7.0961959364848285e-06    
MWEBV         All|All|All                            All                   All      -0.09507766087081837       -2.370110738158715        -0.004360035606687518     -0.7412476880019586        
Redshift      All|All|All                            All                   All      0.7953363750141336         -0.0628031645444338       -3.38471713616042         -0.4305686603298192        
