#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      3.5878776104144006        0.0459078930614254         0.30827560745184396        -1.1399791397824341        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -2.59190467841045         0.9561138241728884         -0.31144729920885866       1.1418078900950244         
Check         All|All|All                            All                   All      0.9959729320039509        1.0020217172343138         -0.003171691757014705      0.0018287503125902216      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5268.3696958864       All      0.0012534470209468905     -2.4523330246516032e-05    -0.00021876625593367986    -0.00042603952060466476    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4399.4700174475165    All      -0.0005613948282733516    -2.3800433038997665e-05    -0.0015053401253574499     0.00010793576484051574     
MWEBV         All|All|All                            All                   All      -0.09704063025473042      -2.370232749820289         -0.005062243302053253      -0.740679363810404         
Redshift      All|All|All                            All                   All      0.5879335192468007        -0.34459892868810016       -2.9199791691101393        -0.4340617570368046        
