#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3743.014044829812    All      -1.1111694810351955       0.08296757061287963       -0.11020890660307113       0.38405160633337276        
Zeropoint     AB|SDSS|SDSS_i            5931.192853813625    All      1.193164367741171         -0.36005293075831446      -0.46318012852421686       -0.5266035752792518        
Zeropoint     AB|SDSS|SDSS_r            4891.000407426665    All      0.741182593095286         1.3609434159999267        0.15673421836082196        0.20887081785670147        
Zeropoint     AB|SDSS|SDSS_z            7051.693886939494    All      0.14587046471155674       -0.07125957602660549      0.2810746512305705         -0.05818332687934009       
Check         All|All|All               All                  All      0.9690479445128181        1.0125984798278864        -0.13558016553589552       0.008135522031482316       
Lambda        AB|SDSS|SDSS_g            3743.014044829812    All      -0.002064600343778961     0.00010881007424749912    -0.0004951368816092945     0.0006858555912853376      
Lambda        AB|SDSS|SDSS_i            5931.192853813625    All      -0.0002399669338418805    8.773223358675559e-05     0.0002938252633253439      0.00011985447182547499     
Lambda        AB|SDSS|SDSS_r            4891.000407426665    All      -0.00013381523105571      -1.413896288521365e-06    -0.001397262507596675      -1.9225937711255984e-05    
Lambda        AB|SDSS|SDSS_z            7051.693886939494    All      -7.54993612973141e-05     4.057809147427053e-05     -0.00022646450769012757    2.7704174338122854e-05     
MWEBV         All|All|All               All                  All      -0.5302447930302847       -3.004508650156623        0.02835105774899101        -0.8046839616334616        
Redshift      All|All|All               All                  All      6.175528576922995         -0.9949629568144047       8.811519088165538          -1.942447367641277         
