#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6098.596296282267     All      1.1007539100364294        -0.11016049819874141       -0.06636255231716737       -0.3973961165806589       
Zeropoint     AB|CNIa02|SDSS_i                      7395.613935316562     All      0.45450340176864357       -0.06768416798470511       0.14222989601409552        -0.1637466039086051       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.42195360986      All      -0.787162245047422        0.4579286180644182         -0.2319708825992306        0.39521526130154583       
Zeropoint     AB|CNIa02|SDSS_g                      4667.1702492745835    All      -0.46890276746234383      0.5175981148366482         0.2874255015897331         0.33416227231817114       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.8283233357115    All      0.7006140269163873        0.19893543177511575        -0.1310518338902722        -0.16926146462027322      
Check         All|All|All                           All                   All      0.9998063262116944        0.9966174984927356         0.0002701287971584865      -0.0010266514898202017    
Lambda        AB|CNIa02|SDSS_r                      6098.596296282267     All      7.536316538004186e-05     -2.814038566178386e-05     -0.0001680211731031879     -4.121252500226791e-05    
Lambda        AB|CNIa02|SDSS_i                      7395.613935316562     All      -4.02396304646471e-05     -1.4917396221187434e-05    -0.000172119237846369      5.673936998394511e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.42195360986      All      -0.000521917547040385     0.00016053176314155787     -0.0008700071664339983     0.0001834717682021124     
Lambda        AB|CNIa02|SDSS_g                      4667.1702492745835    All      1.5457467356991037e-05    -4.2208204463635076e-05    -0.00038586341567177013    -3.600291849109402e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.8283233357115    All      9.460685781114739e-05     -6.614784745194515e-06     -0.0007181182642799119     -6.501753901064816e-05    
MWEBV         All|All|All                           All                   All      -0.8674676089529494       -4.047751423187407         0.026186540339645514       -1.0347544815009533       
Redshift      All|All|All                           All                   All      3.897691873907336         -0.04876765031580632       2.418301438682824          -1.1775740153497054       
