#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6098.596296282267     All      1.1445591880438462         -0.11195127246308445       -0.02776926912881027       -0.41052600989497645       
Zeropoint     AB|CNIa02|SDSS_i                      7395.613935316562     All      0.4543172989547393         -0.06607130475169143       0.14780686738568358        -0.16291174686468798       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.42195360986      All      -0.7466363714937312        0.41150777099661084        -0.26682116988394594       0.36533864567304286        
Zeropoint     AB|CNIa02|SDSS_g                      4667.1702492745835    All      -0.5687444027499772        0.5853710421204639         0.2420129101270061         0.386733294318515          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.8283233357115    All      0.7156750435116586         0.178235507435609          -0.09450787815935358       -0.17927919067878859       
Check         All|All|All                           All                   All      0.9991707562665356         0.9970917433379078         0.0007214603405799047      -0.0006450074468951905     
Lambda        AB|CNIa02|SDSS_r                      6098.596296282267     All      -3.5586406914338685e-06    -2.1658330941708135e-05    -0.0002012471792884166     -1.4876401893416073e-05    
Lambda        AB|CNIa02|SDSS_i                      7395.613935316562     All      -5.6181369579093914e-05    -1.3667688402735372e-05    -0.00019820347875239633    5.003193676638515e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.42195360986      All      -0.00040813553248050756    0.00012121594610153241     -0.0007293762853910358     0.00013987847800764434     
Lambda        AB|CNIa02|SDSS_g                      4667.1702492745835    All      -8.20754530322306e-05      -4.920798520438912e-05     -0.0005235986474945235     -1.2659787256973367e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.8283233357115    All      0.00014193498867989492     -3.736871085412453e-05     -0.0007404077066789594     -9.144610923421398e-05     
MWEBV         All|All|All                           All                   All      -0.8791392680680601        -4.045296065284187         0.01995687473480961        -1.0304308486571525        
Redshift      All|All|All                           All                   All      4.055074301566158          0.26190907350871484        2.2776299473118966         -1.1339185424350857        
