#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          3374.052195215061     All      -0.555553537229159         0.2311017960314743        -0.05867696689043202      0.2536210386959753        
Zeropoint     AB|DECam|DECam_r          4484.366022909696     All      -0.02763206598675          0.40733739375387046       -0.04563611804759007      0.13964733275833896       
Zeropoint     AB|DECam|DECam_z          6384.1898293664935    All      0.8078439854433762         0.11698927958629923       0.2471562995658037        -0.21400465564057392      
Zeropoint     AB|DECam|DECam_i          5447.94460976129      All      0.7689447689855474         0.2431155403348484        -0.14176645991400166      -0.17760626503547794      
Check         All|All|All               All                   All      0.9936031512130147         0.9985440097064924        0.001076754713779965      0.0016574507782624037     
Lambda        AB|DECam|DECam_g          3374.052195215061     All      -0.0009790271544219422     0.0003165926500339027     -0.0004783136352236709    0.0004006810542117922     
Lambda        AB|DECam|DECam_r          4484.366022909696     All      -0.00033924163008544205    -0.0002158726651664436    -0.0019023216771521638    -4.470654881135116e-05    
Lambda        AB|DECam|DECam_z          6384.1898293664935    All      -0.000246152823055616      -5.086150948203901e-05    -0.0006838702791533521    3.3094816068263114e-05    
Lambda        AB|DECam|DECam_i          5447.94460976129      All      0.00010980898900247874     8.274837150844783e-06     -0.0011601673245341896    -8.484595287062475e-05    
MWEBV         All|All|All               All                   All      -0.5027129716262306        -2.4362166852750278       0.007782871197777662      -0.6294584561220526       
Redshift      All|All|All               All                   All      3.4980730316436563         0.9424128992820968        1.625567346193199         -0.7599209791313002       
