#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6941.344998348761     All      0.12798653093692736       0.001397145048542825       0.16021000652339987        -0.03408489087774552      
Zeropoint     AB|SDSS|SDSS_g            3684.4412470809666    All      -1.137852143182025        0.34115795718729913        -0.5867071958082771        0.45558020017706524       
Zeropoint     AB|SDSS|SDSS_i            5838.378198224585     All      1.1697356060081945        0.03517177795373527        -0.8870798401701782        -0.40915106389504025      
Zeropoint     AB|SDSS|SDSS_r            4814.4632707174305    All      0.8376217459801448        0.6205755459713913         1.3202820828375732         -0.011780962429969373     
Check         All|All|All               All                   All      0.9974917397432415        0.9983024261609685         0.006705053382517923       0.0005632829743101014     
Lambda        AB|SDSS|SDSS_z            6941.344998348761     All      -7.621451378308998e-05    -1.4695397977953382e-06    -0.00011885766071378404    1.9042825559448286e-05    
Lambda        AB|SDSS|SDSS_g            3684.4412470809666    All      -0.002194963534515218     0.000554074496472132       -0.001952766987005227      0.0008083091054617701     
Lambda        AB|SDSS|SDSS_i            5838.378198224585     All      -0.0002746022602595934    2.19010954268066e-05       0.0004783231704024625      0.00011792626385392097    
Lambda        AB|SDSS|SDSS_r            4814.4632707174305    All      -7.215743887004707e-05    -6.785653942400793e-05     -0.0009336478455894655     -4.026347081424027e-05    
MWEBV         All|All|All               All                   All      -0.5398117087946606       -2.9232711968226965        0.05324508435898104        -0.7739950851696598       
Redshift      All|All|All               All                   All      5.6514971365282465        -0.944946032946703         0.4271020581014066         -2.1296189535879666       
