#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6941.344998348761     All      0.09093274806969882       -0.0033366470974627305     0.07415310812239895       -0.027397530734329933     
Zeropoint     AB|SDSS|SDSS_g            3684.4412470809666    All      -1.2875066610161743       0.32763948077132454        -1.16493465084897         0.47412055199387293       
Zeropoint     AB|SDSS|SDSS_i            5838.378198224585     All      1.1266755372934065        0.07923781940455399        -0.48795388706790455      -0.36296006528246105      
Zeropoint     AB|SDSS|SDSS_r            4814.4632707174305    All      1.0707722360143055        0.5947600477345105         1.594821749878017         -0.08388326011286862      
Check         All|All|All               All                   All      1.0008738603612366        0.9983007008129263         0.016086320083541494      -0.0001203041357866752    
Lambda        AB|SDSS|SDSS_z            6941.344998348761     All      -5.32345258162895e-05     -5.333580855174346e-06     -7.224742496998311e-05    1.2378842912126212e-05    
Lambda        AB|SDSS|SDSS_g            3684.4412470809666    All      -0.001971807067651301     0.0003505626838063694      -0.002630821740796043     0.0006390707403806556     
Lambda        AB|SDSS|SDSS_i            5838.378198224585     All      -0.0003704819443460974    -1.7577618172008048e-06    0.00026254279791162446    0.00013182167617028964    
Lambda        AB|SDSS|SDSS_r            4814.4632707174305    All      -0.000247785135397906     -0.00016535044676213028    -0.0014107527033796132    -3.61037236896519e-05     
MWEBV         All|All|All               All                   All      -0.5665766713833236       -2.9089925176251086        0.1181836994840868        -0.7577279086034089       
Redshift      All|All|All               All                   All      5.66596866277317          0.15919595682056809        2.041733699671333         -1.7026238400969478       
