#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7263.779580179807     All      0.7835347903413447        -0.14688136839167143       0.6295644229547681         -0.27497258397010194       
Zeropoint     AB|PS|PS_z                8347.855149421275     All      0.23977845608207007       -0.07375784697876142       -0.1582754037262405        -0.10919219328056236       
Zeropoint     AB|PS|PS_r                5997.0939301074295    All      1.0585888358183895        0.05669783373631887        -0.5205632422097918        -0.3495792072523818        
Zeropoint     AB|PS|PS_g                4722.373632103054     All      -1.082625911116602        1.1627366276661277         0.05724981173900179        0.7339432452739326         
Check         All|All|All               All                   All      0.999276171125202         0.9987952460320138         0.007975588757737628       0.0001992607708866112      
Lambda        AB|PS|PS_i                7263.779580179807     All      -0.0002611822879017775    -2.5818928580697397e-05    -0.0016276696566256024     4.030168196538295e-06      
Lambda        AB|PS|PS_z                8347.855149421275     All      0.0002601063034239746     -8.371621840900316e-05     -0.0001329137975549311     -0.00011792563911987079    
Lambda        AB|PS|PS_r                5997.0939301074295    All      -7.330290885414476e-05    -7.5399783118400996e-06    -0.00027692293407075366    9.063351327234987e-06      
Lambda        AB|PS|PS_g                4722.373632103054     All      -0.0001670361544886437    -2.8806204889547733e-05    -0.0007120169185607431     1.3251997314747292e-05     
MWEBV         All|All|All               All                   All      -0.6957819806173511       -3.9874828485735314        -0.01214772853622668       -1.0727573637673107        
Redshift      All|All|All               All                   All      5.053494217174542         1.020516502811386          7.329688547863404          -0.9865831867445829        
