#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3817.1470747462927    All      -1.0968836802413013       0.5126713930827975         -0.2643226966839451        0.5124895322079474         
Zeropoint     AB|SDSS|SDSS_r            4987.870115951034     All      0.8215155992147503        0.3685078392377861         0.09859128257886499        -0.14315985480900967       
Zeropoint     AB|SDSS|SDSS_i            6048.66430650014      All      1.16931254025811          0.10846453604731465        0.012223369554151476       -0.34500762299083926       
Zeropoint     AB|SDSS|SDSS_z            7191.357651921739     All      0.10412715284681243       0.009145787284481344       0.15470018771164382        -0.024034996692454683      
Check         All|All|All               All                   All      0.9980716120783713        0.9987895556523796         0.0011921431607151978      0.00028705771564374247     
Lambda        AB|SDSS|SDSS_g            3817.1470747462927    All      -0.0014945812467829513    0.0005064032163324482      -0.0026924383363821033     0.0005316353130394305      
Lambda        AB|SDSS|SDSS_r            4987.870115951034     All      -0.0001514083338686838    -6.520116170333009e-05     -0.0007019543426979166     -3.2444862489449115e-06    
Lambda        AB|SDSS|SDSS_i            6048.66430650014      All      -0.0002130493055037296    -2.1883333870919484e-05    -9.563901769770696e-05     5.8001116028737544e-05     
Lambda        AB|SDSS|SDSS_z            7191.357651921739     All      -3.364004902346295e-05    -2.6507977607616148e-06    -4.2791855852830674e-05    8.184614661519067e-06      
MWEBV         All|All|All               All                   All      -0.5550904357636646       -3.072900451700278         0.1778816000835175         -0.8121955168485899        
Redshift      All|All|All               All                   All      4.592582422235367         0.5923402743293948         3.384276379555061          -1.1519857602302699        
