#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3817.1470747462927    All      -1.0631854995829033        0.5179059830645372         -0.15208472169667697       0.5082266696335491         
Zeropoint     AB|SDSS|SDSS_r            4987.870115951034     All      0.7837704480061585         0.35759717491270493        -0.13837095388194443       -0.1449935158877133        
Zeropoint     AB|SDSS|SDSS_i            6048.66430650014      All      1.172832076888458          0.11446602270588357        0.147815386700606          -0.33814832123928057       
Zeropoint     AB|SDSS|SDSS_z            7191.357651921739     All      0.10370838824427209        0.008785825956003634       0.14372381964548042        -0.024505667425680014      
Check         All|All|All               All                   All      0.997125413555985          0.9987550066391293         0.0010835307674650352      0.0005791650808752297      
Lambda        AB|SDSS|SDSS_g            3817.1470747462927    All      -0.0015432615774084847     0.0005420622421802134      -0.0027452844547128786     0.0005567491365775355      
Lambda        AB|SDSS|SDSS_r            4987.870115951034     All      -0.00019574911953295049    -6.82527163838019e-05      -0.0009710340379248874     -1.8030163018114007e-06    
Lambda        AB|SDSS|SDSS_i            6048.66430650014      All      -0.0001503319966571621     -1.5796102477116127e-05    -4.016001724456549e-06     4.3643551121757465e-05     
Lambda        AB|SDSS|SDSS_z            7191.357651921739     All      -3.436826670813448e-05     -2.6515086967447293e-06    -3.9214032456455886e-05    8.581249369659706e-06      
MWEBV         All|All|All               All                   All      -0.5517284735044936        -3.0737221455199304        0.1858074466021653         -0.8132045771436287        
Redshift      All|All|All               All                   All      4.755612401013419          0.5263169861873251         4.653136839885718          -1.169972530215554         
