#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           6998.215074892031     All      0.45155888093100705        -0.043980348950434234      0.18746108828456517        -0.15304790253630485      
Zeropoint     AB|MEGACAMPSF|r           4962.250635716928     All      -0.05333680586602696       0.7270032292414186         0.32121148297149976        0.2685166150731404        
Zeropoint     AB|MEGACAMPSF|i           6074.152930496817     All      1.3260952323434125         -0.06236130698908937       -0.28160712652067654       -0.4648328064058093       
Zeropoint     AB|MEGACAMPSF|g           3882.5494011837823    All      -0.731397917079514         0.3791950569306479         -0.22715766775661064       0.3516196656441389        
Check         All|All|All               All                   All      0.9929193903288785         0.9998566302325429         -9.222302122227632e-05     0.0022555717751651105     
Lambda        AB|MEGACAMPSF|z           6998.215074892031     All      -0.00023341556735255022    2.579224567650583e-05      -0.00010503852873144329    7.974512527454344e-05     
Lambda        AB|MEGACAMPSF|r           4962.250635716928     All      -0.0003510725741346235     -0.00016954193386425103    -0.0022443127156252167     -4.102286702615057e-05    
Lambda        AB|MEGACAMPSF|i           6074.152930496817     All      -0.00029333704653393015    -2.8474490001273442e-05    -0.0005165838487287937     6.322168379700716e-05     
Lambda        AB|MEGACAMPSF|g           3882.5494011837823    All      -0.0008529644132256825     0.00037779475413930264     -0.000606459371023393      0.00037383525522305546    
MWEBV         All|All|All               All                   All      -0.4931603654800307        -3.0143486727640223        0.02746351263727153        -0.8200084058803535       
Redshift      All|All|All               All                   All      7.526935643916092          -0.0013128429657172092     6.9287204042027986         -2.1430012350182497       
