#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           6998.215074892031     All      0.43026456129602236        -0.04712694670203632       0.13813169097926029        -0.14933793691657982       
Zeropoint     AB|MEGACAMPSF|r           4962.250635716928     All      -0.042430769079758845      0.7487133642589683         0.4881363226022204         0.2794849542460037         
Zeropoint     AB|MEGACAMPSF|i           6074.152930496817     All      1.3079813033545684         -0.08663303903020392       -0.5128408555247972        -0.4771575047529869        
Zeropoint     AB|MEGACAMPSF|g           3882.5494011837823    All      -0.701726870086744         0.3853891516062191         -0.10614068083861679       0.34937288222087054        
Check         All|All|All               All                   All      0.9940882254840883         1.0003425301329472         0.007286477218066675       0.002362394797307543       
Lambda        AB|MEGACAMPSF|z           6998.215074892031     All      -0.0002307246365635907     2.4949693333860574e-05     -0.00010462592251334808    7.861256629091942e-05      
Lambda        AB|MEGACAMPSF|r           4962.250635716928     All      -0.00033815489450200785    -0.00011843406952681344    -0.00223607838938245       -2.8215607286710526e-05    
Lambda        AB|MEGACAMPSF|i           6074.152930496817     All      -0.00024697251895525586    -2.1084623896246037e-05    -0.00045161566809066416    5.342558584058269e-05      
Lambda        AB|MEGACAMPSF|g           3882.5494011837823    All      -0.0009080582082910986     0.00042793555133638437     -0.0005490169098744545     0.000410677017255597       
MWEBV         All|All|All               All                   All      -0.48999452685863165       -3.016161010156182         0.026399371476970926       -0.8216774493176565        
Redshift      All|All|All               All                   All      7.24746604521666           -0.37790692664927406       6.1251464523007115         -2.2104976898699467        
