#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5518.781674198023     All      0.5605020050763567         0.18134308887702844       -0.14142999264244727      -0.1298159039711217        
Zeropoint     AB|DECam|DECam_z          6467.200450566437     All      0.774204693150205          0.17993538063123538       0.5924004275062622        -0.16713695568423836       
Zeropoint     AB|DECam|DECam_g          3417.9234108542787    All      -0.5927809512238589        0.2283535938611081        -0.14040464215733447      0.2612049215340105         
Zeropoint     AB|DECam|DECam_r          4542.674127649525     All      0.2534496243874119         0.40842334024357996       -0.30582851337393885      0.03683231580584312        
Check         All|All|All               All                   All      0.9953753713901149         0.9980554036129519        0.0047372793325415885     0.0010843776844935427      
Lambda        AB|DECam|DECam_i          5518.781674198023     All      -1.67213874811045e-05      -1.869611068615697e-05    -0.0006091225824552482    -2.7825575570495597e-05    
Lambda        AB|DECam|DECam_z          6467.200450566437     All      -0.00012009712464246577    -3.3804984654112e-05      -9.766007490553899e-05    2.375006831475405e-05      
Lambda        AB|DECam|DECam_g          3417.9234108542787    All      -0.001164432236994949      0.0003032359140624572     -0.001681252438722365     0.00040304122702033946     
Lambda        AB|DECam|DECam_r          4542.674127649525     All      -0.00036743088080065336    -0.0001923045489898621    -0.0017149874014566811    -1.948760331881892e-05     
MWEBV         All|All|All               All                   All      -0.5150730257029823        -2.4661543357424875       0.19973367751118867       -0.626618174664649         
Redshift      All|All|All               All                   All      5.41239156710822           0.8915157217629144        1.9070897306034225        -1.387493339495973         
