#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6459.618227776051     All      1.0416276328832237         -0.13152841784034308       -0.27647216182802586      -0.3944732042000021       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4320.167128228234     All      -0.6374148398853101        0.4062279870673535         -0.38565226619751114      0.3227389141640406        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5321.153928053856     All      0.5479416322466399         0.614643360718059          0.4960834893448539        0.043864875085232576      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3590.0811023863716    All      -0.3075920187848228        0.19887374355906928        0.03519821979517083       0.16654329591395128       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7787.772341658524     All      0.3504455023785418         -0.08704931551273276       0.13249604708688245       -0.13659376529002334      
Check         All|All|All                                     All                   All      0.9950079088382727         1.001167357991406          0.0016533282013702355     0.002080115673199018      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6459.618227776051     All      -0.00021884156928238168    -5.6943422930775444e-05    -0.0004698491207139766    3.176834423902001e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4320.167128228234     All      -0.0005864512549996904     0.00045463506221189617     -0.000619285435456261     0.0003114801995290159     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5321.153928053856     All      4.176224877897229e-05      0.0005329132523161705      -0.0015664059846824674    9.008253538622157e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3590.0811023863716    All      -0.0008563706259626488     0.000527677984227352       8.245988814724098e-05     0.0004545099722691117     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7787.772341658524     All      -2.9158493329076816e-05    2.4440291872237225e-05     4.111035803578227e-05     1.9293454153816357e-05    
MWEBV         All|All|All                                     All                   All      -0.9712962225469717        -3.959472642152928         0.013748217238231539      -0.9727338481577585       
Redshift      All|All|All                                     All                   All      7.39597636283958           -4.074921608909143         4.510465468245477         -3.535167492703288        
