#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6459.618227776051     All      0.9632048665269394         0.05089442104972974       0.11652318072965517        -0.29196963182972213      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4320.167128228234     All      -0.5724561375462376        0.3922539126850033        -0.36658530297333236       0.2978787829719526        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5321.153928053856     All      0.5489802486773248         0.4494408212785572        0.14093091067652885        -0.02613416698243748      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3590.0811023863716    All      -0.276545986448103         0.20823911185132715       0.13555427696638755        0.16395962027486166       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7787.772341658524     All      0.3320278032265402         -0.10033712779780046      -0.021297570942246935      -0.14178589519329918      
Check         All|All|All                                     All                   All      0.9952107944364637         1.000491139066817         0.0051254944569922856      0.0019487092413554563     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6459.618227776051     All      -0.00011039985425857706    -4.932492316923986e-05    -0.00015388333349105934    1.3027007948228687e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4320.167128228234     All      -0.0006542302660352929     0.00046174281845822455    -0.0005286359753628495     0.0003399185524002629     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5321.153928053856     All      0.0002741730605440848      0.00020688116858106422    -0.001221125138727083      -7.641238956632931e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3590.0811023863716    All      -0.0006371424245743339     0.0002097048987700441     -0.00020675008784410302    0.0002666197268109889     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7787.772341658524     All      -4.36282596407001e-05      2.5870617300081272e-05    4.151811072400915e-05      2.449083326057675e-05     
MWEBV         All|All|All                                     All                   All      -0.9971415414414655        -3.8845924200615833       0.1487834967555557         -0.9338982213565494       
Redshift      All|All|All                                     All                   All      6.255851529675422          -1.8724767592676272       6.580929830986548          -2.353987264527001        
