#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5406.042712720425    All      1.3703893753558005        0.11035511511963136        -0.15346894100394803      -0.4172832264344332        
Zeropoint     AB|MEGACAMPSF|r           3831.730179987888    All      -1.9941765464258097       0.4086729327768879         -0.06074437368452368      0.7799763843674            
Zeropoint     AB|MEGACAMPSF|i           4681.006707226221    All      1.623533159705655         0.479758807365549          0.21108671058979733       -0.3631451052082422        
Check         All|All|All               All                  All      0.9997459886356453        0.9987868552620682         -0.0031266040986743793    -0.00045194727527542167    
Lambda        AB|MEGACAMPSF|z           5406.042712720425    All      -9.70172957693599e-06     -4.6796020300584275e-06    -0.0001471235214552858    -4.92957488354938e-06      
Lambda        AB|MEGACAMPSF|r           3831.730179987888    All      -0.0028554037327405994    0.0004957815735469555      -0.0013866297339063846    0.0010297123885154335      
Lambda        AB|MEGACAMPSF|i           4681.006707226221    All      1.0890852822567935e-05    -2.8984877506636743e-05    -0.0003022236151817991    -2.647568912348898e-05     
MWEBV         All|All|All               All                  All      -0.09528401905157113      -2.056257238270476         0.02690573731864432       -0.6375528121192998        
Redshift      All|All|All               All                  All      2.677463511103205         -0.6794629056868118        -0.8491544304016052       -1.1313552357508263        
