#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_V-LC-9844
@MAGSYS  Linear_AB11_off
56288.174389999826  18.211  0.015
56289.080380000174  18.198  0.018
56290.08929000003  18.192  0.017
56291.079849999864  18.195  0.015
56292.13297000015  18.186  0.015
56293.174730000086  18.206  0.015
56294.128769999836  18.238  0.014
56295.13683000021  18.246  0.012
56296.072490000166  18.275  0.011
56297.106290000025  18.292  0.011
56300.09058000008  18.422  0.011
56304.123589999974  18.655  0.023
56307.11036999989  18.848  0.014
56310.08729999978  19.037  0.017
56314.07830000017  19.279  0.027
