#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7152.245040952235    All      0.7346845016784513         -0.09749714157925027     1.457222720222262          -0.2060397819502449        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4136.838580094694    All      -0.9286950610500615        0.5627206693606723       0.587950310637475          0.5120406915205433         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5849.774486582451    All      1.1050271656636979         -0.02367824085709458     -1.8045979977913018        -0.4481874046313358        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5053.481200479523    All      0.0880456340511625         0.5567024752442862       -0.21688044662715456       0.14297857329159724        
Check         All|All|All                              All                  All      0.9990622403432501         0.9982477621686137       0.02369458644128075        0.0007920782305599339      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7152.245040952235    All      -0.00046475141126641443    6.784940896161522e-05    -0.0008935432399456169     0.00013361087829168736     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4136.838580094694    All      -0.0005486217055692312     0.0002113308612087497    -0.0008211368716672062     0.00021089798545914453     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5849.774486582451    All      -0.00025341182530515645    3.226147194678511e-05    -0.00016659001062184093    8.561904423346884e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5053.481200479523    All      -5.130845446551655e-05     3.124648291731191e-06    -0.0010419734983616886     -2.8767839256776424e-05    
MWEBV         All|All|All                              All                  All      -0.7659919707046785        -3.7932853833538616      0.19377935321623907        -0.9774415769571853        
Redshift      All|All|All                              All                  All      7.681539568232111          0.4896125112021643       13.396478078198081         -1.7448239610152474        
