#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7152.245040952235    All      0.7457773091604916         -0.10757677192287929      1.1507032637386203         -0.22661489705250157       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4136.838580094694    All      -0.9502279154410657        0.556598109342854         0.32312986965519447        0.5052426113767692         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5849.774486582451    All      1.1124844767296536         -0.01947128864312475      -1.4335570107430975        -0.432688298320711         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5053.481200479523    All      0.08946209968418456        0.5689133239891397        -0.026453940938275394      0.1549925193473653         
Check         All|All|All                              All                  All      0.997495970133264          0.9984633727659897        0.013822181712441945       0.0009319353509218975      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7152.245040952235    All      -0.0004342494940125437     7.417127813939488e-05     -0.0006378743611150931     0.00013714396895086998     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4136.838580094694    All      -0.0006116083481381982     0.0002362870708873519     -0.0010023493244744118     0.0002314571861799856      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5849.774486582451    All      -0.00020586994878381558    2.232211138790567e-05     -0.00012459489396355887    6.876956341977646e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5053.481200479523    All      -3.16005409342199e-05      2.7892881043286536e-06    -0.0008568375249439603     -2.7034824716213035e-05    
MWEBV         All|All|All                              All                  All      -0.7679646375211058        -3.7951772230484515       0.14851635405164054        -0.9794351286717496        
Redshift      All|All|All                              All                  All      7.119089337028193          0.5201894561746911        10.589241729640635         -1.6769295647859068        
