#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u                             3410.847391164027     All      -0.15509573707519683       0.07561201944712437        -0.0076498926271817425     0.07480772678579717        
Zeropoint     AB|SDSS|SDSS_i                             7107.082226197778     All      0.1421625258361971         -0.002973674008277527      0.09114845216986467        -0.04320809833785119       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5905.5863995795335    All      0.4230305412621317         0.01964990144989187        -0.2563167158990076        -0.1428325830261902        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5101.695786142693     All      0.11272539405502666        0.14351417574900438        -0.024641340215136864      0.008929289278340052       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4562.224825858527     All      -0.17122775922253786       0.12508925911633995        -0.37020516491930167       0.07999964519378941        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4173.3498014951       All      -0.14372418059963438       0.12458818954437234        0.0599380599891397         0.09007292650244914        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4176.307601583437     All      -0.1927735782464           0.15020014367790324        0.019127687791442582       0.11257140558688303        
Zeropoint     AB|SDSS|SDSS_r                             5860.666297774782     All      0.19888498116190584        0.032586678744284114       -0.0576401178894681        -0.05674104187898335       
Zeropoint     AB|SDSS|SDSS_z                             8449.728330150503     All      0.053621064316843055       -0.004541712345851323      0.015310583741623418       -0.018262288824134193      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7220.483650641384     All      0.27640594018196135        -0.022589799748562456      0.08528481186109715        -0.09358687970864935       
Zeropoint     AB|SDSS|SDSS_g                             4485.085756959356     All      -0.11704033781588738       0.15639840014154416        0.11300798019702185        0.09411101994932364        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5947.274756875561     All      0.35810504668577625        0.034435520435938116       0.0583355494730764         -0.10282656546320088       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3412.97936555757      All      -0.12400442398128589       0.06443236693494114        0.0591550929048168         0.06401988229452343        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5161.156950886295     All      0.0921617256429211         0.1095255316490018         -0.007966683378501926      0.005300446378900953       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7245.700720662236     All      0.23215232060946966        -0.007069633722966984      0.21986374183500246        -0.06811095169415027       
Check         All|All|All                                All                   All      0.9853835228112904         0.9988573670646872         -0.003247954965512889      0.0042439330368473915      
Lambda        AB|SDSS|SDSS_u                             3410.847391164027     All      -3.827863354081092e-05     3.6827312508673e-05        0.00016988456435160083     3.2045645395978253e-05     
Lambda        AB|SDSS|SDSS_i                             7107.082226197778     All      -7.833006168347959e-05     1.5963651627500033e-06     -7.188630680320445e-05     2.282671101439433e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5905.5863995795335    All      -4.5395273730976066e-05    2.969004644908605e-06      2.369471022763308e-05      1.681122269611414e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5101.695786142693     All      -2.1871781967046017e-05    1.8223484166000577e-05     -0.00050341717670392       -9.404849210224903e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4562.224825858527     All      -8.967045647774661e-05     -6.048449258663618e-06     -0.0005595134727809972     2.269922295793608e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4173.3498014951       All      -6.449975550715045e-05     4.5656786569100236e-05     -6.032591476755921e-05     3.318954128765312e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4176.307601583437     All      -0.0001224788603003171     6.800713355936589e-05      -0.00016206387858954644    5.4815388434174314e-05     
Lambda        AB|SDSS|SDSS_r                             5860.666297774782     All      -1.9219987246053917e-05    -1.6516841924988277e-06    -1.25430941827341e-05      5.162833599518083e-06      
Lambda        AB|SDSS|SDSS_z                             8449.728330150503     All      -1.7518142465310976e-05    1.7079379604645519e-06     5.61697554576442e-07       6.287632896010586e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7220.483650641384     All      -6.783494074229323e-05     -1.0034350512909088e-05    -0.00025648931318117787    7.3816137861768e-06        
Lambda        AB|SDSS|SDSS_g                             4485.085756959356     All      2.998926437666749e-05      -3.054029661811012e-05     -1.6559945980456e-05       -2.045546371143325e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5947.274756875561     All      -1.5153188448600954e-05    -5.736547867070215e-07     -1.0367102787937213e-05    4.286397583044474e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3412.97936555757      All      -0.00014399524105511657    7.305340615797733e-05      0.0001380723000223416      7.686141769255854e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5161.156950886295     All      2.581017091168291e-05      8.19169695422206e-06       -0.00012071563932932302    -1.1125901154911434e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7245.700720662236     All      -8.031384406039806e-05     1.136364897464675e-06      -9.553916671299068e-05     2.226753847497818e-05      
MWEBV         All|All|All                                All                   All      -0.9380017633542348        -3.760542978649273         0.08340099021495462        -0.9156727295229934        
Redshift      All|All|All                                All                   All      5.231788429897353          0.33657901334684937        2.4236276902209752         -1.4863753820815082        
