#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u                             3410.847391164027     All      -0.11326259929031876       0.0628495166484555         0.032818161316680965       0.058830033888977055       
Zeropoint     AB|SDSS|SDSS_i                             7107.082226197778     All      0.16444908285571425        -0.005556051517530136      0.0922959708266115         -0.05125751999022756       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5905.5863995795335    All      0.48059372120905686        0.009670432888420066       -0.20102634032059044       -0.16236609020995366       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5101.695786142693     All      0.11095021869492278        0.17129282144976443        0.08641937845774181        0.023512070880635925       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4562.224825858527     All      -0.22525636859102185       0.14354589289284903        -0.45268270960626517       0.09992987956606272        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4173.3498014951       All      -0.13999768993824227       0.12182528795028347        0.08754145928543061        0.08919093088294128        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4176.307601583437     All      -0.2153061252597292        0.15123828374035142        -0.0361886618936011        0.11778063919239651        
Zeropoint     AB|SDSS|SDSS_r                             5860.666297774782     All      0.21637963845210723        0.03867159895989403        -0.23997683643186624       -0.06859441891966739       
Zeropoint     AB|SDSS|SDSS_z                             8449.728330150503     All      0.0577145811559367         -0.005773697850575132      0.016814717686260937       -0.01992985755162674       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7220.483650641384     All      0.23128493322294705        -0.025006971054875038      0.09979054179516236        -0.07902951141755207       
Zeropoint     AB|SDSS|SDSS_g                             4485.085756959356     All      -0.12241788474423373       0.1411128764875258         0.061769887030105955       0.08859714519703064        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5947.274756875561     All      0.3445129947043658         0.03296850514962202        0.13646616337765685        -0.09539043165211882       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3412.97936555757      All      -0.07494288336460977       0.045379720384897126       0.06425876045618392        0.04206060388664629        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5161.156950886295     All      0.08992949940997896        0.1254039532985196         0.07706497124891616        0.014994252426593543       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7245.700720662236     All      0.19026497257442565        -0.01124703726356202       0.17427639188233482        -0.05786193620524684       
Check         All|All|All                                All                   All      0.9948960910912997         0.9963751321640402         -0.00035814488923693877    0.0004657899748908914      
Lambda        AB|SDSS|SDSS_u                             3410.847391164027     All      -5.5019357849525826e-05    3.2510330910692516e-05     3.739868582522577e-05      3.0180230852858072e-05     
Lambda        AB|SDSS|SDSS_i                             7107.082226197778     All      -7.921465547867763e-05     1.389911464507659e-06      -8.49583159205927e-05      2.2464259824776576e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5905.5863995795335    All      -9.481582119666033e-05     -1.5964837982156845e-05    -0.00028070897506306963    1.3157607045883692e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5101.695786142693     All      -2.2231408927552533e-05    2.0164147426935492e-05     -0.0005153379179795418     -9.187536940947625e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4562.224825858527     All      -0.0001186338161113843     1.174469189751749e-05      -0.0005366369868218866     1.8520925346678604e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4173.3498014951       All      -6.418644471750972e-05     3.930205658733345e-05      -4.711993231877607e-05     3.1606863380185944e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4176.307601583437     All      -0.00013605140680012678    6.371409928355693e-05      -0.00019466285492079145    5.638328826043495e-05      
Lambda        AB|SDSS|SDSS_r                             5860.666297774782     All      -2.2470329772576068e-05    -3.777845351225443e-06     -8.656211265038146e-06     5.702470188286776e-06      
Lambda        AB|SDSS|SDSS_z                             8449.728330150503     All      -1.658058108287192e-05     1.7639849089134088e-06     1.7703487247389288e-06     6.054431194486829e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7220.483650641384     All      -9.781955769503807e-05     -2.1326309006853785e-05    -0.0004266188807682851     5.878326391833623e-06      
Lambda        AB|SDSS|SDSS_g                             4485.085756959356     All      1.6877604008335963e-05     -1.8437957174575904e-05    -2.21485947806125e-06      -1.1602279130751226e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5947.274756875561     All      -5.1246590641030216e-05    -7.076603181481155e-06     -9.163428529185638e-05     1.0298400773473856e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3412.97936555757      All      -0.00016014093000131751    9.551164080959595e-05      0.00013357982502552033     8.923550711381426e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5161.156950886295     All      5.884407697613398e-06      1.0456877414979557e-05     -0.00012532279232447058    -4.103176817943424e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7245.700720662236     All      -7.954956008404324e-05     -2.036862348233672e-06     -0.0001543225022445391     1.836173124700577e-05      
MWEBV         All|All|All                                All                   All      -0.930415291314111         -3.7567496278362533        0.12154025606113407        -0.91520629362924          
Redshift      All|All|All                                All                   All      6.139772163821542          0.45685247690734343        5.7128056026352425         -1.5961776284538012        
