#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8494.158438406403    All      0.37845714125253394        -0.10526319069086298       0.11962661713197931       -0.15222523954277387      
Zeropoint     AB|PS|PS_i                7391.083519218206    All      0.5620981860571055         -0.20718363988168065       0.07384972841939143       -0.24728482512877187      
Zeropoint     AB|PS|PS_g                4805.137262020759    All      -1.159107560764242         1.3033902674065345         -0.05205755007045428      0.7997934670394543        
Zeropoint     AB|PS|PS_r                6102.198121618021    All      1.2187133386163065         0.007544728459318861       -0.13964824141235418      -0.4007493222249121       
Check         All|All|All               All                  All      1.0001611051617034         0.9984881652933097         0.0017705540685622467     -0.000465919857003505     
Lambda        AB|PS|PS_z                8494.158438406403    All      0.0005620160167361865      -0.00014930747661563818    0.0002010542360477537     -0.0002227293364864112    
Lambda        AB|PS|PS_i                7391.083519218206    All      7.045693882441395e-05      -7.661921481776768e-05     -0.0005147307542853867    -7.087761139390216e-05    
Lambda        AB|PS|PS_g                4805.137262020759    All      -0.0007952635488514207     0.0007964642418257183      -0.0008406737245916805    0.0004809627004586576     
Lambda        AB|PS|PS_r                6102.198121618021    All      -0.00022658466555685155    0.00010236375904032445     -0.000724686317490098     7.480990198730702e-05     
MWEBV         All|All|All               All                  All      -0.6848719607829836        -4.0970231913530775        0.03812874498374204       -1.1097484014681829       
Redshift      All|All|All               All                  All      8.033806857165432          -3.9777669040788943        8.609835848354589         -3.528347312710016        
