#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6826.944684016139    All      0.19187762650626858        0.0385977530534376         0.49729972607566175       -0.027736094781910525     
Zeropoint     AB|SDSS|SDSS_i            5742.155880903013    All      0.86606420991551           0.16138209222766875        -0.6074156164357469       -0.2566443182864947       
Zeropoint     AB|SDSS|SDSS_r            4735.116096409864    All      1.3306607342574175         0.527662352311431          2.1364395971939842        -0.16622350395127383      
Zeropoint     AB|SDSS|SDSS_g            3623.717966952057    All      -1.392707700213836         0.2709155304437161         -2.034934504590402        0.45108703698002184       
Check         All|All|All               All                  All      0.9958948704653601         0.9985577280362534         -0.008610797756503086     0.0004831199603427816     
Lambda        AB|SDSS|SDSS_z            6826.944684016139    All      -5.238888131336948e-05     -9.885567440782375e-06     -0.0001074290990140397    9.050660360802497e-06     
Lambda        AB|SDSS|SDSS_i            5742.155880903013    All      -0.00020275414169369134    -3.3728654683120026e-05    0.0008864317858799045     9.461454126257923e-05     
Lambda        AB|SDSS|SDSS_r            4735.116096409864    All      -0.00041269342987153746    -0.00014246723462050718    -0.0015266852041600117    1.9892613120882317e-05    
Lambda        AB|SDSS|SDSS_g            3623.717966952057    All      -0.001583822810864584      0.0003376566677792182      -0.002535941257583526     0.0005127216698224297     
MWEBV         All|All|All               All                  All      -0.6653733705450331        -2.832039106859696         -0.07317919299147935      -0.7090199627864807       
Redshift      All|All|All               All                  All      5.360638504933816          0.038534792339106616       -2.484694143189825        -1.8444647590266177       
