#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6826.944684016139    All      0.17260573914834568        0.03256492852408144        0.481909059107488         -0.02411051124642944      
Zeropoint     AB|SDSS|SDSS_i            5742.155880903013    All      0.8967214381985013         0.12516510717013318        -1.6683501016078315       -0.3257720830451599       
Zeropoint     AB|SDSS|SDSS_r            4735.116096409864    All      1.101111921858833          0.5010444043854534         1.9507653457745195        -0.10840803423526724      
Zeropoint     AB|SDSS|SDSS_g            3623.717966952057    All      -1.1732759504789199        0.33995115570313317        -0.762180866337032        0.4588952206820455        
Check         All|All|All               All                  All      0.9971631487267598         0.9987255957828012         0.0021434369371440276     0.0006045921551889322     
Lambda        AB|SDSS|SDSS_z            6826.944684016139    All      -8.749592137403759e-05     -1.6761025206187775e-05    -0.0002431324461539199    1.2190798385916218e-05    
Lambda        AB|SDSS|SDSS_i            5742.155880903013    All      -0.00013778118101998257    -1.401667014678934e-05     0.0006587619654082059     6.971169385476139e-05     
Lambda        AB|SDSS|SDSS_r            4735.116096409864    All      -0.00023365566711082197    -8.0702011235178e-05       -0.0012931525441689238    -7.885421066937661e-06    
Lambda        AB|SDSS|SDSS_g            3623.717966952057    All      -0.001921892119499312      0.0004739225786586331      -0.0026497128506520625    0.0006621511523187664     
MWEBV         All|All|All               All                  All      -0.60265614496535          -2.835962605722031         0.02679181712128879       -0.726265792120868        
Redshift      All|All|All               All                  All      5.57712146290821           -0.592621390299719         -1.7208209714060223       -2.086480562309627        
