#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7364.305795955685    All      0.7219329778134675        -0.11359099609045131       1.6825089015936268         -0.19707500142853163       
Zeropoint     AB|PS|PS_z                8463.384300430525    All      0.4570113917456079        -0.13724950752909137       -0.40652779895071767       -0.21171179404916862       
Zeropoint     AB|PS|PS_r                6080.090000099859    All      0.8797130794543315        -0.06419612746926262       -2.0178172253042415        -0.39750819765155543       
Zeropoint     AB|PS|PS_g                4787.728361755155    All      -1.0111740375859104       1.3302988778506553         0.8786546267029571         0.8019050812035411         
Check         All|All|All               All                  All      1.0474834114274962        1.01526224676185           0.13681850404162477        -0.004389911925714585      
Lambda        AB|PS|PS_i                7364.305795955685    All      -0.0002236196093786917    3.839388189549748e-05      -0.0010235474128662237     3.9670194042839256e-05     
Lambda        AB|PS|PS_z                8463.384300430525    All      0.00043065111594710185    -0.00014139686580536722    -0.000996251135440492      -0.0002307929600351194     
Lambda        AB|PS|PS_r                6080.090000099859    All      -2.345163856949727e-05    -3.023481597847889e-05     -0.00038437633748745716    -1.9362454607414744e-05    
Lambda        AB|PS|PS_g                4787.728361755155    All      -0.0006576072325717154    0.0002986135457391337      -0.0017207091239253296     0.00023468522095540035     
MWEBV         All|All|All               All                  All      -0.6499317354927507       -4.063286328820048         0.1511482730022884         -1.105096833852112         
Redshift      All|All|All               All                  All      5.693071687861995         0.10685480430829841        14.301991231238187         -1.181382438069728         
