#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7364.305795955685    All      0.6068989808135676         -0.10586162780255037       1.0735785212549513         -0.1842607007179771        
Zeropoint     AB|PS|PS_z                8463.384300430525    All      0.45449742170182567        -0.11049731235575067       -0.005438732140609292      -0.18428007829343318       
Zeropoint     AB|PS|PS_r                6080.090000099859    All      0.9722114644571245         -0.007876707777132452      -1.3320330875481339        -0.37868948053040763       
Zeropoint     AB|PS|PS_g                4787.728361755155    All      -1.035389986446426         1.2236409831578143         0.26269955806770884        0.7475637814526113         
Check         All|All|All               All                  All      0.9982178805260917         0.9994053352223808         -0.001193740366082996      0.00033352191079338844     
Lambda        AB|PS|PS_i                7364.305795955685    All      -0.00011707132872086577    2.3588610665294257e-05     -0.00047395926699755653    2.4666944562701883e-05     
Lambda        AB|PS|PS_z                8463.384300430525    All      0.0005403339827155299      -0.00013107114301539265    -0.0003363117337664335     -0.00023370678607717392    
Lambda        AB|PS|PS_r                6080.090000099859    All      -0.00017660989330500556    1.3729609659942174e-06     -0.00038664489899205393    4.072068505182032e-05      
Lambda        AB|PS|PS_g                4787.728361755155    All      -0.0003540655533567754     -4.758028067874385e-05     -0.0017259283461351484     2.2812081191373358e-05     
MWEBV         All|All|All               All                  All      -0.649742809526793         -4.0635130365558325        0.15579861287186564        -1.1050246961125714        
Redshift      All|All|All               All                  All      5.078547303873424          1.3361726857313627         12.81338009682766          -0.6472122296015218        
