#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5287.9537707229565    All      0.20101476772226134        0.8683170407631557        -0.3683908194656471        0.20092271360719893       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7423.709608516424     All      0.5007583440353126         -0.16586643234344223      0.38880411875079623        -0.19979107886315822      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4275.87865073009      All      -0.9661651111352605        0.4966034442861478        -0.015487891937637777      0.4757806886729485        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6093.38454060093      All      1.2431101918899303         -0.166229686039987        -0.0952508732081192        -0.4633189731463941       
Check         All|All|All                                All                   All      0.9787181925122441         1.0328243666658743        -0.09032546586060786       0.013593350270595106      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5287.9537707229565    All      -7.664494977344853e-05     0.00034394588945588456    -0.0015898670533983133     6.605180876669842e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7423.709608516424     All      -0.00017709100716089754    0.00013529902531965685    -0.00037909355825714873    8.483850651443812e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4275.87865073009      All      -0.0006184850736233975     0.00022132556382973705    -0.0009523598587512475     0.00023105450710234974    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6093.38454060093      All      -0.0003307893060690442     0.00011821242297932153    -0.00031358323159335033    0.00013226085547885237    
MWEBV         All|All|All                                All                   All      -0.8258730164067747        -3.9797122056852707       0.049377589354793194       -1.0251056871455666       
Redshift      All|All|All                                All                   All      10.040813338844128         -2.5506315932308787       11.380911610740041         -3.5935700460598117       
