#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5287.9537707229565    All      0.26907450698530105        0.652282370614099         -0.4149420525997922       0.10630645030052978       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7423.709608516424     All      0.5327606383670769         -0.1961546588449714       0.4360524082653255        -0.21797267663833836      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4275.87865073009      All      -1.055661610873019         0.638619000909646         0.09801041856635083       0.5562566902691385        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6093.38454060093      All      1.2504933432947154         -0.09570833648107069      -0.1302039242062607       -0.44431257895506315      
Check         All|All|All                                All                   All      0.9966668777740744         0.9990383761977029        -0.011083149974376608     0.00027788497626674014    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5287.9537707229565    All      -3.826029156121887e-06     0.00023112082145437042    -0.001503250365830884     9.446759117804948e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7423.709608516424     All      -0.0002211459550943118     0.0001442109393374543     -0.0007193285653139509    8.690843028786804e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4275.87865073009      All      -0.0005865815646516928     0.00020162343352394507    -0.0006142766769779861    0.0002293319522572162     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6093.38454060093      All      -0.00032143947846509195    0.0001036811418051531     -0.0006667608848923314    0.00010872129610423311    
MWEBV         All|All|All                                All                   All      -0.8390696491739504        -3.972868918049155        0.0499171530539333        -1.01855394752665         
Redshift      All|All|All                                All                   All      9.232716400236049          -1.930993702323569        12.404729328811214        -3.082821558473121        
