#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4111.349673733436    All      -2.926852000557142        0.5883649518864331         -0.3760556476234809       1.1282401722212243        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4923.345299408686    All      3.921246902050504         0.41374720341664784        0.3766030886442392        -1.125701978986839        
Check         All|All|All                            All                  All      0.994394901493362         1.002112155303081          0.0005474410207582658     0.002538193234385311      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4111.349673733436    All      -0.001184647295655875     0.00012256322556572342     -0.0015932129513208488    0.00035470369605558377    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4923.345299408686    All      -0.0004538748311627215    -4.2848286329864936e-05    -0.0002001288671899681    0.00012495403583968434    
MWEBV         All|All|All                            All                  All      -0.041152752072674215     -2.114481997773865         0.02597914922578521       -0.6741922157189767       
Redshift      All|All|All                            All                  All      4.760177085787973         0.39056134278645516        1.5666574076630573        -1.3534148788767684       
