#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4234.982185787951     All      -0.568958978332292         0.40967944671850276        0.2119036003085717         0.32823101573064145        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6150.395951185071     All      0.05453383052347499        -0.034721520902714076      -0.676798101424303         -0.05927579521867055       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4269.133743313938     All      -0.03259395566613233       0.011920134735543542       -0.058467985967269875      0.011890546033928306       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5198.83817397593      All      -0.037224695091863345      0.01627044414336254        -0.29134159979299357       0.004423889271526309       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6054.917110804387     All      0.6747589342677066         -0.037055451828660324      -0.29462082257332156       -0.24500893771625798       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4301.165158907422     All      -0.34826386922981695       0.26375677889758364        0.11134122327839391        0.2043239073995246         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5201.861534157966     All      0.055899443499659196       0.22243308036760112        0.13438492359439946        0.060242466254193695       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7942.9706767008365    All      0.06238517197858001        -0.023951040393388467      -0.09578026169824172       -0.03239677792333147       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6149.204766473498     All      0.4666100053215806         -0.00818232571262456       0.2818496551769689         -0.14207782679966138       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7371.8031787795635    All      0.4078515629877543         -0.07076266652790153       0.4640749552151435         -0.13519086666162256       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5242.807839616513     All      0.07234868988946519        0.2795123351185147         -0.1286545300384634        0.061738753945856685       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7619.004431208464     All      0.1953838263053228         -0.03447419574458266       0.3800514481971162         -0.05791236926609138       
Check         All|All|All                                All                   All      1.002729966453439          0.9944250188712367         0.037942504276000655       -0.0010119949499642206     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4234.982185787951     All      -0.0003406983181713384     0.0001701819137332225      -0.00015020264155604746    0.0001597076449548477      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6150.395951185071     All      -5.183732922062626e-06     5.749254652333112e-07      1.016462310360231e-05      2.329384935664317e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4269.133743313938     All      -3.5569088344497216e-05    1.3330059636755557e-05     -7.271476062765271e-05     1.26831354316822e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5198.83817397593      All      -5.6703264810588356e-05    1.793885395811083e-05      -0.0005232792219088708     9.618453964768323e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6054.917110804387     All      -0.00017245114031664356    -1.0356734715297936e-05    -0.0007758685039388075     1.8176032756263515e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4301.165158907422     All      -0.0001414356629144563     9.095275821917192e-05      3.837523733025079e-05      7.740906470614743e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5201.861534157966     All      3.043580362935245e-05      7.487666891274486e-05      -5.423396772053339e-05     1.2055638992077962e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             7942.9706767008365    All      4.346900159697683e-06      -1.4934916615484696e-06    -2.8354311884173196e-06    -2.0289400306382168e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6149.204766473498     All      -9.295814401140981e-05     -6.631775512906918e-06     -0.00011181966146317106    2.312934035115585e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7371.8031787795635    All      -0.0001825742713271214     6.129757808974925e-06      -0.0007461748357984529     2.8168754603162307e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5242.807839616513     All      -0.00014887278141019304    8.944056843463299e-05      -0.0011002227151938114     2.8528611681848173e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7619.004431208464     All      -4.095079896251742e-05     6.7209179768984295e-06     -9.533778111252048e-05     1.12737592596093e-05       
MWEBV         All|All|All                                All                   All      -0.7917341207848794        -3.939468693556325         0.10116577790529879        -1.0208061437128404        
Redshift      All|All|All                                All                   All      7.77860804166065           -0.204618017511482         13.491971823927306         -1.9983146316918865        
