#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4688.9500470926905    All      -0.7651084754559425        0.8367272149588878         0.6187693132644756        0.5493834157433432         
Zeropoint     AB|CNIa02|SDSS_r                      6127.055981104762     All      1.2760220933968804         -0.1263516700231726        -0.208651637493301        -0.46611043575134703       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4343.59761702103      All      -0.5174544061555566        0.24589614468206733        -0.5615004107410779       0.22359120344172517        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5434.06913972406      All      0.5289447804917744         0.1107397021378631         -0.003973952424456436     -0.13640049180327748       
Zeropoint     AB|CNIa02|SDSS_i                      7430.126277410148     All      0.4751767072175393         -0.06880902105930176       0.157579054439549         -0.17016201883342763       
Check         All|All|All                           All                   All      0.9975806994946952         0.9982023706963439         0.0022223670451892164     0.0003016727970161781      
Lambda        AB|CNIa02|SDSS_g                      4688.9500470926905    All      -0.00016742994739191055    -0.00010504448846923455    -0.0014923798487008508    -4.6277062003042536e-05    
Lambda        AB|CNIa02|SDSS_r                      6127.055981104762     All      -0.00022953828718090029    1.4668058260894682e-05     -6.079178950518367e-05    7.683318250149342e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4343.59761702103      All      -4.944235434895239e-05     1.0160414829197552e-05     -0.0001572496445690164    1.2397253378565047e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5434.06913972406      All      3.919743479806165e-05      9.526178912631868e-06      4.231225229707125e-05     -7.776702710335838e-06     
Lambda        AB|CNIa02|SDSS_i                      7430.126277410148     All      -0.00012981939306340272    2.29978007857227e-05       1.3450202466855571e-05    5.037780833455525e-05      
MWEBV         All|All|All                           All                   All      -0.887499934313821         -4.071026681472434         0.021674439721083533      -1.0360121657709527        
Redshift      All|All|All                           All                   All      4.599365011980424          0.4460159532716279         -0.5222026309608974       -1.3761859345766905        
