#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4688.9500470926905    All      -0.7915707038879678        0.8008452338678751         0.2677551908592868         0.5306509442682623         
Zeropoint     AB|CNIa02|SDSS_r                      6127.055981104762     All      1.2614347636009464         -0.1330389195686621        -0.26337687288733314       -0.4659792556205776        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4343.59761702103      All      -0.5524218340257936        0.2812157923641756         -0.33510971836205883       0.25658879315125965        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5434.06913972406      All      0.6160300888950652         0.09387283806816527        -0.09606683907354974       -0.17437081686644176       
Zeropoint     AB|CNIa02|SDSS_i                      7430.126277410148     All      0.4636491668688968         -0.0453068696426584        0.42433000543122823        -0.1468478259828915        
Check         All|All|All                           All                   All      0.997121481451147          0.9975880750888955         -0.002468234032426686      4.1838949611072707e-05     
Lambda        AB|CNIa02|SDSS_g                      4688.9500470926905    All      -5.941389299935412e-05     -0.00016315791377853888    -0.0017982963893406615     -0.00011404254922438287    
Lambda        AB|CNIa02|SDSS_r                      6127.055981104762     All      -0.0003352963337774325     1.144459113586078e-05      -0.00020185773456243822    0.00010393694308737435     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4343.59761702103      All      -8.580350072692462e-05     1.7567102464443986e-05     -0.0001163190458266702     2.8480421470069967e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5434.06913972406      All      3.110121876869805e-07      3.0298437954961105e-05     0.00011161208239510622     1.4748625750945824e-05     
Lambda        AB|CNIa02|SDSS_i                      7430.126277410148     All      -0.00017612677870446436    2.766451033344651e-05      -2.1951965383628273e-05    6.540191198057127e-05      
MWEBV         All|All|All                           All                   All      -0.8894122509946061        -4.066754794288485         0.07713559824824578        -1.0315227903367654        
Redshift      All|All|All                           All                   All      5.221490658891734          0.8376035290163841         5.401203158525458          -1.1869453736668933        
