#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6412.55626422203     All      0.5233578126782766         -0.05606872356480608       0.04943383695883874        -0.1865322803191276        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8206.995297483529    All      0.07477436100847434        -0.019677496983305787      0.011573340185697011       -0.030249612503693693      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4385.141022491735    All      -0.5655341683476489        0.4051527998617743         -0.0900873187758861        0.31216449691763093        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7929.045584377566    All      0.17384283539423073        -0.034165180764578196      0.07922496753824153        -0.06421960768927357       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5371.647735192226    All      0.13050480007838536        0.11010283540473509        0.08819238755164413        -0.002709969895464175      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.091584043291    All      -0.3489575994825438        0.224331322182314          -0.12249968300288823       0.18127246419982482        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4411.039897009727    All      -0.2155545504090558        0.17133083191778198        0.042966127491556566       0.12793867810852802        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5405.00176568429     All      0.2616223285375182         0.22439093760495687        0.09735923378955845        -0.007782793453873556      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6566.8758606213      All      0.3553287253352555         -0.06007241132692798       -0.025183519614637002      -0.13643364131901914       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7878.202308416134    All      0.13870154963172152        -0.029476375937065313      0.06347610680923493        -0.05194843613547937       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6354.83532591905     All      0.3085940216735751         -0.06391988608265287       -0.19289726984960925       -0.12994815430802098       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.326585596436    All      0.15983105631596164        0.12451184714565855        -0.0010558302460009334     -0.011551745248861638      
Check         All|All|All                                      All                  All      0.9965111724141502         0.9964404994578846         0.0005023788357498443      -6.016468299223365e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6412.55626422203     All      -0.00018360656820237654    -1.1092423627697896e-05    -0.000372893631975903      3.955300227816936e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8206.995297483529    All      -6.604138780103634e-06     1.0568473019951082e-06     -6.349312680249584e-06     2.2120945423141856e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4385.141022491735    All      -0.00022242096210087342    6.686166976414937e-05      -0.0003512592658013759     7.855378255707958e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7929.045584377566    All      2.4956323560034166e-05     -3.531998085524874e-06     5.45949815113876e-05       -6.843260318729296e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5371.647735192226    All      4.046158734392487e-06      2.0821725313578508e-05     -0.000247173925834362      -5.565883146619404e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.091584043291    All      -0.00016740490722317848    8.20132632226707e-05       -0.00018431058766725056    7.301876870861103e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4411.039897009727    All      -7.133675579206155e-05     3.788029395524841e-05      -8.380966927361222e-05     3.183554562111567e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5405.00176568429     All      -4.966627864430226e-06     -5.780104579101452e-06     -0.00040473542459670646    -1.8326459245739423e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6566.8758606213      All      -8.710528113212229e-05     2.0027031453453534e-07     -0.00013512505322927262    2.2408279854803414e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7878.202308416134    All      1.2318135987756405e-05     -1.5262031855064299e-06    1.574767592503207e-05      -3.8068102838871144e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6354.83532591905     All      -8.119572040751535e-05     -2.629049219560766e-06     -0.0001395091392261095     1.9366097431263057e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.326585596436    All      9.20005030030201e-06       1.6993115326336786e-05     -0.00027911765545007096    -9.917281358509755e-06     
MWEBV         All|All|All                                      All                  All      -0.8514688865176887        -4.1052354979846495        0.023028114101232955       -1.0588311921286944        
Redshift      All|All|All                                      All                  All      3.658547835770546          -0.2812309004806224        -2.1177431686646138        -1.3778207004424172        
