#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6412.55626422203     All      0.5094248783158084         -0.057422874800661106      0.01186098545453984        -0.18411166062188844       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8206.995297483529    All      0.08368722225228117        -0.02157203054631296       0.011787139954536063       -0.03376039564326472       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4385.141022491735    All      -0.5925437593217016        0.40884139990304824        -0.10114118962747942       0.3216706241842948         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7929.045584377566    All      0.1952027227380104         -0.03886904974055305       0.07341274511351303        -0.07296880338697465       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5371.647735192226    All      0.13039143920377583        0.10253674014686354        0.09674281210435287        -0.00475600449466318       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.091584043291    All      -0.40691057211246906       0.2563818897110881         -0.12811640186102535       0.21033892989205105        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4411.039897009727    All      -0.2150181254259634        0.16574585475099823        0.04557165456116341        0.12606100874652804        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5405.00176568429     All      0.2655501878465671         0.21203585176134965        0.08986301562425025        -0.013421206170910471      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6566.8758606213      All      0.3743592042164576         -0.06129046492837631       -0.020207161261423523      -0.14280718248783353       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7878.202308416134    All      0.15313052668712196        -0.032511916834199184      0.0646912985663578         -0.0575829757712476        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6354.83532591905     All      0.30103087252968846        -0.0594891386044516        -0.16479462407661682       -0.12478725558066339       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.326585596436    All      0.17528848394062252        0.1291544575147796         0.009329987461026423       -0.014611015681981199      
Check         All|All|All                                      All                  All      0.9735930808701995         1.0035407183335732         -0.010999737986805425      0.00926406298344673        
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6412.55626422203     All      -0.00021159025648304254    -8.606723386755362e-06     -0.00038160250528760314    4.9089247515272164e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8206.995297483529    All      -8.38066451988451e-06      1.8058742341167231e-06     -6.332479575071267e-06     3.0355013199402182e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4385.141022491735    All      -0.0001719959603827256     2.4418985867005188e-05     -0.00034811795610291407    4.8443904320401166e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7929.045584377566    All      1.8845450225377975e-05     -1.6580763706818836e-06    5.201655203968251e-05      -4.357413344176988e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5371.647735192226    All      1.16015495413407e-05       5.162499835600391e-06      -0.0002544413412786149     -1.3451958782055555e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4400.091584043291    All      -0.00015987376249430662    6.452090146222519e-05      -0.0001937399194731595     6.444700162498663e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4411.039897009727    All      -3.9142983593876884e-05    1.4692734772598642e-05     -8.454485881201947e-05     1.3763215866198326e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5405.00176568429     All      -6.587949764979577e-06     -3.27088327117778e-05      -0.0004451137554650624     -2.8371813500166705e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6566.8758606213      All      -0.00010498554412323352    4.318279811503977e-06      -0.00014136997850018338    2.929515859290305e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7878.202308416134    All      7.104240186420988e-06      4.3116364050831196e-07     1.6278489075939607e-05     -1.4472063656380943e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6354.83532591905     All      -8.912522350526715e-05     -2.4052383662668305e-06    -0.00012693925524600246    2.2582836211823443e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5402.326585596436    All      -8.368873582958977e-06     8.454345448346961e-06      -0.00030418031219608054    -8.094294377705896e-06     
MWEBV         All|All|All                                      All                  All      -0.8713610985323172        -4.098620522864405         0.02267645320283007        -1.050212622229088         
Redshift      All|All|All                                      All                  All      3.821312718730565          0.20880701839400828        -2.3958244878640955        -1.283626597776527         
