#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5406.917215748505     All      1.4858742613290907         0.3008889531395553         -0.06043137714510152      -0.38868547454671476       
Zeropoint     AB|MEGACAMPSF|z           6227.981752608781     All      0.5676376573845276         -0.026880587564903635      -0.09996860030141198      -0.19811529094160416       
Zeropoint     AB|MEGACAMPSF|r           4422.0898533631835    All      -0.5592166991312791        0.5637992454094132         0.41123833193429354       0.38415491726895457        
Zeropoint     AB|MEGACAMPSF|g           3470.13276933784      All      -0.5029993802411475        0.1617799691025823         -0.2542710640746993       0.20519355490732769        
Check         All|All|All               All                   All      0.9912958393411918         0.9995875800866472         -0.003432709586919269     0.002547706687963308       
Lambda        AB|MEGACAMPSF|i           5406.917215748505     All      0.00018513284950370744     3.054194274433044e-05      -0.0013147985921789197    -0.00010902876673872606    
Lambda        AB|MEGACAMPSF|z           6227.981752608781     All      -0.00014867636389677522    9.10949894752227e-07       -8.133434580617431e-05    4.5095931080156863e-05     
Lambda        AB|MEGACAMPSF|r           4422.0898533631835    All      -0.0003241531049121088     -0.00014108828580201957    -0.0020741890125486793    -3.293129498667096e-05     
Lambda        AB|MEGACAMPSF|g           3470.13276933784      All      -0.0006378069431239145     0.00020491170838837235     -0.000385441683467531     0.00025730069735414824     
MWEBV         All|All|All               All                   All      -0.45609036850385287       -2.538325906104255         -0.09334367760054706      -0.682418117730188         
Redshift      All|All|All               All                   All      1.1305044086783314         0.38453419057074           0.6914463729271606        -0.21213096580344307       
