#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5406.917215748505     All      1.5633393908138973        0.294630749790592          0.005794525125035754       -0.4130015606127607        
Zeropoint     AB|MEGACAMPSF|z           6227.981752608781     All      0.513441991900474         -0.017639315689876867      -0.05074005628469269       -0.1752549496095615        
Zeropoint     AB|MEGACAMPSF|r           4422.0898533631835    All      -0.545271871225917        0.5628994975628743         0.3880171763522622         0.37828329705180824        
Zeropoint     AB|MEGACAMPSF|g           3470.13276933784      All      -0.540940560354616        0.15994695905749978        -0.3459594502839558        0.21286354225511853        
Check         All|All|All               All                   All      0.9905689511338384        0.9998378907210892         -0.0028878050913505593     0.002890329084604487       
Lambda        AB|MEGACAMPSF|i           5406.917215748505     All      0.00023979574660100504    3.5020289689178855e-05     -0.0013512122452330748     -0.00012700049983998616    
Lambda        AB|MEGACAMPSF|z           6227.981752608781     All      -0.0001285757447581482    -4.447384745518308e-06     -0.00017451724142429493    3.264478760179202e-05      
Lambda        AB|MEGACAMPSF|r           4422.0898533631835    All      -0.0003193663414362707    -0.00013158216649756355    -0.0020231613298542783     -2.9116914414113677e-05    
Lambda        AB|MEGACAMPSF|g           3470.13276933784      All      -0.0007215524162351283    0.0002050419014278171      -0.0006003800738826422     0.0002750300480589653      
MWEBV         All|All|All               All                   All      -0.4620788038298156       -2.537022108233522         -0.09247748644678477       -0.6800041433377576        
Redshift      All|All|All               All                   All      1.1770159729787357        0.33414694397819744        1.3454209226186786         -0.21451021583119845       
