#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6078.200936292624     All      0.28822194436075876        -0.4464758468191832        -2.4949728982773034       -0.3506544228807598        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.48012423484164696       0.2720331845775803         -0.17618159870145256      0.23714024117170301        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      0.7328485650138867         0.9035787123891303         2.4423627028711814        0.16460385591810928        
Zeropoint     AB|CNIa02|SDSS_g                      4651.561966197224     All      -0.49346769347633923       0.4391792623787083         -0.287275713140811        0.29097400102760795        
Zeropoint     AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.9590968304284541         -0.17001008823482877       0.5440771237780306        -0.3435076067445253        
Check         All|All|All                           All                   All      1.0065754114851135         0.998305224291407          0.028009616529645065      -0.0014439315078648707     
Lambda        AB|CNIa02|SDSS_r                      6078.200936292624     All      0.00014012026661665901     -0.00015303351910839392    -0.0007964265295320672    -0.000131030690642002      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.0005478499216829795     0.00026608387952665525     -0.000320347325991988     0.00025082938682369134     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      -0.00015166619306032273    0.0004677932629884132      5.92816248188537e-05      0.00020442379109085308     
Lambda        AB|CNIa02|SDSS_g                      4651.561966197224     All      -0.00018281460572700203    0.0001935825430178448      -4.745698180666578e-05    0.00012048714730857773     
Lambda        AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.0005739315269709364      -0.00011214267185681667    0.0002930680970460984     -0.00021039865457082656    
MWEBV         All|All|All                           All                   All      -0.7125359307685639        -4.046702912954103         0.1997987439252502        -1.077131776634456         
Redshift      All|All|All                           All                   All      4.5553431620378815         -0.1641133388829985        0.30982828718840727       -1.5234560343895989        
