#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6078.200936292624     All      0.13002723184041942        -0.43512102519667195       -2.464457133928668        -0.2940647831874003        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.33704035905499113       0.2674482043238058         0.05211979550144299       0.1992276792711709         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      0.14502450539055323        1.054282087303271          1.817366222291458         0.3772758157546083         
Zeropoint     AB|CNIa02|SDSS_g                      4651.561966197224     All      -0.45601690793032545       0.396008046406493          -0.43679955088583533      0.2580402006076414         
Zeropoint     AB|CNIa02|SDSS_i                      7370.8809965832415    All      1.5157342681352746         -0.2801969297328455        1.0538941551133583        -0.5379634197451433        
Check         All|All|All                           All                   All      0.9977287383809305         1.0024203831040523         0.022123488091756016      0.002515492700877031       
Lambda        AB|CNIa02|SDSS_r                      6078.200936292624     All      6.884486445070436e-05      -0.0001783040525445578     -0.0009984086431033224    -0.00012505892543987536    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4308.963258059745     All      -0.0004432340822519211     0.0003502899609613249      6.266317590775706e-05     0.0002612732567793514      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.739734516697     All      -0.0002667902779570825     0.0006739310381441039      0.00012228716713246876    0.00031188099609066275     
Lambda        AB|CNIa02|SDSS_g                      4651.561966197224     All      -0.00028101639711186307    0.00027952373425033686     2.2392291097934313e-05    0.00018358562711485896     
Lambda        AB|CNIa02|SDSS_i                      7370.8809965832415    All      0.0007440211278731905      -0.00021813261285206614    0.00019881067973336573    -0.0003045331197399953     
MWEBV         All|All|All                           All                   All      -0.6550681217464516        -4.066582824451981         0.22492831682801845       -1.101205056449541         
Redshift      All|All|All                           All                   All      4.787562007183527          -2.2353933877552024        -3.6146422655219568       -2.4489125033600123        
