#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4399.751467995845     All      -0.4818994854645347        0.30206233682879          -0.6855077844682056        0.22477109310136176       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6963.342394151127     All      0.8517713841794382         -0.1585424887595721       2.3247685675300183         -0.22534872286234459      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4920.01038553061      All      0.24216040720478163        0.40949412875779245       0.028321184908271586       0.05576994263369512       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3291.433795357874     All      -0.08969138916451819       0.020706812797754992      0.5735888947034522         0.06155696434418441       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5695.272246044298     All      0.9439848042139608         0.17839716051124554       -2.1246704914808094        -0.3441913684155004       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4027.5778161395515    All      -0.46680855557144685       0.24110371931254093       -0.05759561351047521       0.2280200898478999        
Check         All|All|All                              All                   All      0.999517165397681          0.9932216694485518        0.05890475768225184        0.0005779986492961964     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4399.751467995845     All      -0.00034014542095935725    6.045497222511936e-05     -0.0019959941616745597     4.1416675255720484e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6963.342394151127     All      -0.0007208688992632724     0.00013783690003551718    -0.0019649511687566327     0.00019202198344597096    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4920.01038553061      All      -3.991628740514358e-05     -9.401491681303043e-05    -0.000449557378117821      -3.768338443323398e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3291.433795357874     All      -0.0002121698245489024     4.856238103353297e-05     0.0013442152842059703      0.00014491521156959392    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5695.272246044298     All      -0.00024324474285227488    9.005910095381964e-07     -4.8927438306832304e-05    7.734276052566028e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4027.5778161395515    All      -0.0004290245784256614     0.0001680893086177157     -0.0005947118729644689     0.00016796037799584525    
MWEBV         All|All|All                              All                   All      -0.8160800954930969        -3.655627727507671        0.7626655345703112         -0.8908998220776683       
Redshift      All|All|All                              All                   All      7.9140000609627315         -0.12825453821303512      12.551166873021854         -2.0595259731504147       
