#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4773.131628944926    All      -1.1251424449076481        1.196803128501145          0.23478710639599476       0.7668115332198842         
Zeropoint     AB|PS|PS_i                7341.853644138748    All      0.5859200081091654         -0.15426398371429784       0.41892188788726326       -0.2224077176491558        
Zeropoint     AB|PS|PS_r                6061.553140343458    All      1.2167015799964915         0.040909761093033126       -0.8150143173938859       -0.4193644235786387        
Zeropoint     AB|PS|PS_z                8437.581299514579    All      0.3227915295969804         -0.08551172766342319       0.1664252246013384        -0.12557101025733558       
Check         All|All|All               All                  All      1.0002706727949893         0.997937178216457          0.0051199014907105656     -0.0005316182652458923     
Lambda        AB|PS|PS_g                4773.131628944926    All      -0.00021915769947836625    -0.00011680636521707375    8.71710936222836e-05      3.7229242373793276e-05     
Lambda        AB|PS|PS_i                7341.853644138748    All      -1.4865182305503648e-05    -1.7219040587149258e-05    -0.0005554898024717338    -2.5555687693900047e-05    
Lambda        AB|PS|PS_r                6061.553140343458    All      -0.00025016965315932747    4.993276914833838e-05      -0.0011214970256774738    4.770597061558694e-05      
Lambda        AB|PS|PS_z                8437.581299514579    All      0.0005134021612966031      -0.00013110019702065187    0.0003078565886659999     -0.00019619739598371758    
MWEBV         All|All|All               All                  All      -0.6974412674250927        -4.0478454004360565        0.11407066954916918       -1.0862464010692925        
Redshift      All|All|All               All                  All      5.057203575775032          1.0022071835598112         7.1450374029934505        -1.001995527037498         
